"Bestattungsnummer";"Geschlecht";"Geschlechtsbestimmung";"Alter";"Leichenbrandgewicht";"Anthropologe";"Infans I";"Infans II";"Juvenil";"Adult früh";"Adult mittel";"Adult spät";"Matur früh";"Matur mittel";"Matur spät";"Senil"
4;1;2;5;;1;0,00;0,00;0,00;0,33;0,33;0,33;0,00;0,00;0,00;0,00
5;3;1;5;;1;0,00;0,00;0,00;0,33;0,33;0,33;0,00;0,00;0,00;0,00
6;3;1;5;;1;0,00;0,00;0,00;0,33;0,33;0,33;0,00;0,00;0,00;0,00
7;2;2;9;;1;0,10;0,10;0,10;0,10;0,10;0,10;0,10;0,10;0,10;0,10
8;2;0;10;;1;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
9;1;2;8;;1;0,00;0,00;0,00;0,14;0,14;0,14;0,14;0,14;0,14;0,14
10;3;2;6;;1;0,00;0,00;0,00;0,00;0,00;0,00;0,33;0,33;0,33;0,00
11;3;2;16;;1;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
12;2;0;2;;3;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
13;2;0;20;25;1;0,00;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11
14;1;2;5;;1;0,00;0,00;0,00;0,33;0,33;0,33;0,00;0,00;0,00;0,00
15;2;0;1;;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
16;2;0;9;;4;0,10;0,10;0,10;0,10;0,10;0,10;0,10;0,10;0,10;0,10
17;1;2;11;;1;0,00;0,00;0,12;0,12;0,12;0,12;0,12;0,12;0,12;0,12
18;2;0;4;4;1;0,33;0,33;0,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00
19;2;0;1;;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20;2;0;9;;4;0,10;0,10;0,10;0,10;0,10;0,10;0,10;0,10;0,10;0,10
21;2;0;10;;1;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
22;2;0;9;;4;0,10;0,10;0,10;0,10;0,10;0,10;0,10;0,10;0,10;0,10
23;1;1;8;;1;0,00;0,00;0,00;0,14;0,14;0,14;0,14;0,14;0,14;0,14
24;3;1;8;;1;0,00;0,00;0,00;0,14;0,14;0,14;0,14;0,14;0,14;0,14
25;2;0;8;;1;0,00;0,00;0,00;0,14;0,14;0,14;0,14;0,14;0,14;0,14
26;3;1;5;;1;0,00;0,00;0,00;0,33;0,33;0,33;0,00;0,00;0,00;0,00
27;1;2;21;;1;0,00;0,00;0,00;0,25;0,25;0,25;0,25;0,00;0,00;0,00
28;2;0;9;;4;0,10;0,10;0,10;0,10;0,10;0,10;0,10;0,10;0,10;0,10
29;3;1;16;;1;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
30;3;1;5;;1;0,00;0,00;0,00;0,33;0,33;0,33;0,00;0,00;0,00;0,00
32;1;2;16;;1;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
33;1;2;22;1180;1;0,00;0,00;0,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00
34;2;0;11;;1;0,00;0,00;0,12;0,12;0,12;0,12;0,12;0,12;0,12;0,12
