"Fundplatz";"Ausgrabungqualität";"Ausgrabungsjahr";"Ausgräber"
7;3;1911;571
7;3;1911;661
11;1;1988;2
11;2;1986;2
11;2;1987;2
11;2;1989;2
11;2;1990;2
11;2;1991;2
11;3;1912;166
13;3;1929;574
16;3;1935;576
17;2;1984;2
17;2;1985;2
17;2;1987;2
17;2;1988;2
17;3;1841;587
17;3;1880;585
17;3;1884;40
19;3;1864;216
20;3;1840;577
20;3;1841;577
20;3;1854;1
20;3;1885;40
20;3;1890;223
20;3;1890;573
24;1;1937;580
24;1;1938;580
24;1;1999;1
24;1;2000;1
24;1;2002;1
24;3;1856;579
24;3;1877;1
24;3;1878;1
24;3;1880;43
24;3;1890;694
24;3;1893;273
32;4;1864;1
57;3;1867;665
57;3;1912;1
57;3;1922;1
57;4;1873;1
59;2;1933;310
60;3;1906;155
62;3;1834;49
62;3;1889;48
63;3;1835;49
63;3;1890;48
63;3;1890;50
63;3;1890;498
63;3;1892;51
64;3;1834;1
66;2;1939;2
66;3;1875;43
70;4;1952;1
84;2;1979;2
84;3;1978;1
89;3;1874;492
90;3;1886;493
103;3;1928;1
103;4;1885;1
106;2;1960;2
106;2;1961;2
106;3;1830;1
106;3;1888;234
106;3;1888;473
106;3;1888;589
106;3;1892;234
115;3;1830;43
115;3;1869;43
115;3;1907;226
116;2;1958;2
120;3;1876;466
120;3;1876;467
120;3;1880;468
121;3;1605;700
121;3;1844;699
121;3;1845;464
121;3;1876;465
121;3;1877;465
122;3;1885;48
123;3;1830;463
123;3;1880;48
123;3;1885;48
124;3;1880;1
124;3;1888;48
124;3;1905;462
124;3;1906;155
124;3;1906;462
124;3;1907;462
124;4;1897;1
125;2;1969;2
125;3;1893;355
126;3;1893;355
128;2;1981;1
128;4;1975;1
133;3;1897;47
133;3;1898;47
134;3;1894;47
135;3;1895;47
136;3;1894;47
137;3;1830;457
137;3;1898;47
138;3;1898;47
139;3;1881;1
139;3;1889;73
139;3;1889;408
139;3;1892;73
139;3;1892;408
139;3;1894;73
139;3;1897;458
139;3;1898;458
140;2;1983;2
140;2;1984;2
140;2;1985;2
140;2;1986;447
140;2;1987;2
140;2;1988;2
140;2;1989;2
140;2;1990;2
140;2;1991;2
140;2;1996;2
140;2;1997;2
140;2;1998;2
140;2;1999;2
140;2;2000;2
140;4;1979;1
141;2;1971;2
141;2;1972;2
141;2;1973;2
141;2;1974;2
141;2;1975;2
141;2;1976;2
141;2;1977;2
141;2;1979;2
501;3;1888;573
501;4;1860;1
502;4;1936;1
503;3;1938;576
503;5;1937;575
504;3;1880;585
504;3;1884;40
504;3;1886;40
504;3;1926;574
504;3;1926;586
506;3;1893;273
507;3;1899;497
508;3;1883;40
509;4;1932;1
510;3;1852;71
512;2;1973;2
512;3;1830;397
512;4;1900;1
512;4;1970;1
512;4;1971;1
512;4;1972;1
513;2;1981;2
513;3;1833;43
513;3;1865;43
513;3;1868;43
514;3;1868;43
514;3;1874;299
515;3;1884;40
515;3;1885;40
516;3;1850;1
516;3;1866;284
516;3;1867;284
516;3;1880;626
517;3;1897;33
517;3;1921;1
517;3;1922;1
518;2;1969;2
519;3;1928;435
519;3;1928;436
521;3;1835;404
521;3;1848;405
521;3;1848;406
521;3;1862;71
521;3;1884;40
521;3;1899;407
522;3;1885;40
523;3;1884;40
524;3;1860;71
525;3;1851;80
525;3;1852;579
525;3;1854;579
525;3;1877;579
525;4;1990;1
526;2;1957;702
526;2;1959;702
526;2;1971;702
526;4;1955;1
527;3;1883;40
527;3;1910;36
528;3;1844;1
528;3;1893;1
529;3;1821;44
530;2;1919;366
530;3;1829;623
531;2;1968;2
532;3;1850;616
532;3;1876;299
