"Augsgräbernummer";"Ausgräber";"Ausgräbertätigkeit"
1;"Unbekannt";
2;"Denkmalbehörde";
3;"Eidam, H.";
4;"Wägemann, Ch. (Pfarrer)";1
5;"Feuerlein (Rektor)";2
6;"Gemming, Minister (Oberst) von";3
7;"Reynitzsch, W.";
8;"Nörr (Pfarrer)";1
9;"Gumpert, K.";
10;"Sessler, P.";
11;"Ott, A.";
12;"Greiner, Josef (Lehrer)";2
15;"Hörmann, K. (NHG Nürnberg)";
16;"Popp, Chr.";
17;"NHG Nürnberg";
19;"Hornung, W.";
20;"Wünsch, E. (Oberwerkmeister, LfD)";14
21;"Frank, M.";
22;"Ziegler, F.";
23;"Enderlein, M.";
24;"Eye, A. v.";
25;"Vollrath, F.";
26;"Kuttler, P. (Forstassessor)";4
31;"Bersu, G.";
32;"Paret, O.";
33;"Zingeler, K. Th.";
36;"Sautter, Friedrich (Kaufmann)";17
37;"Dorn, Johannes (Landwirt)";5
38;"Sixt, G.";
39;"Zeller (Oberstudienrat)";2
40;"Föhr, Johannes v. (Senatspräsident beim Oberlandesgericht)";8
42;"Striebel, J.";
43;"Paulus, E. (d. Ä. o. d. J.)";
44;"Bechtner (Revierförster)";4
45;"Schaller (Hauptlehrer)";2
47;"Schumacher, K.";
48;"Wagner, E.";14
49;"Wilhelmi, K.";
50;"Baumann, K.";
51;"Mannheimer Altertumsverein";
52;"Mayer";
53;"Frickhinger, E. (Dr., Pharmazierat)";7
54;"Fischer, F. (Oberlehrer)";2
59;"Rupp, H. (Fachlehrer)";2
63;"Schöppler";
70;"Miller, K.";
71;"Aberle, Michael (Baumwart, Sölflingen)";4
72;"Blendinger (Lehrer)";2
73;"Eulenstein (Baurat)";6
74;"Schöppler, G.";
75;"Weiblen (Lehrer)";2
76;"Walz (Prof.)";2
77;"Veeck";
78;"Stoll, H.";
80;"Mayenfisch, v. (Kammerherr)";13
81;"Weber, Fr.";
86;"Haßler, G.";
90;"Pickel, I.";
91;"Freyberg, von";12
92;"Roth, M.";
93;"Redenbacher, M. (Dekan)";1
94;"Redenbacher, F. K.";
95;"Fugger (Lehrer)";2
97;"Erhard, O. (Pfarrer)";1
98;"Voigt (Apotheker)";7
99;"Hock, G.";
100;"Schönweiß, W.";
102;"Bernett (Dr.) (NHG Nürnberg)";
103;"Buscher (Pfarrer)";1
104;"Müller, H.";
105;"Oetter sen. (Konsistorialrat)";1
106;"Oetter jun.";
107;"Bruckmann, P. (Landwirt)";5
109;"Götz (Seminarinspektor)";1
111;"Böhm, J.";
112;"Wunder, L. (NHG Nürnberg, Hist. Ver. Württ. Franken)";
113;"Wunder, J. (NHG Nürnberg)";
114;"Gebhardt, A.";
115;"Heilmann (Landrichter)";8
116;"Mehlis, C. (NHG Nürnberg)";
117;"Scheidemandel, H. (NHG Nürnberg)";
118;"Baumüller, B. (NHG Nürnberg)";
119;"Ehrngruber, H. W.";
120;"Stöhr, A. (NHG Nürnberg)";
121;"Göbel, J. (NHG Nürnberg)";
122;"Gries, F. (NHG Nürnberg)";
124;"Jegel, L.";
125;"Birkner, F.";
127;"Ellinger, P.";
128;"Hornung, Hermann (Studienprofessor, NHG Nürnberg)";2
129;"Reuter, G. (Rektor)";2
130;"Herold, Rudolf (Dr., Pfarrer)";1
131;"Auer, W. (NHG Nürnberg)";
133;"Crailsheim, Freiherr v. (Forstkommissar)";4
134;"Manglkammer, G.";
135;"Erl, R. (NHG Nürnberg)";
136;"Klingsohr (Landrichter)";8
137;"Dollacker, A.";
138;"Popp, D.";
139;"Zottmaier, J. B.";
140;"Döppel, G.";
141;"Melzl (Forstkommissär)";4
142;"Benz (Forstassessor)";4
144;"Klemm (Dekan)";1
148;"Schrader";
149;"Gertis (Hauptlehrer)";2
150;"Hertlein";
151;"Gottschick (Forstmeister)";7
152;"Ow, Freiherr v.";12
153;"Ohlenroth, L.";
154;"AK Vor- und Frühgeschichte Augsburg";
155;"Eckert (Präparator)";14
156;"Hölder, v. (Dr., Obermedizinalrat)";15
160;"Kolb (Dekan)";1
162;"Reutlinger Altertumsverein";
164;"Aich (Pfarrer)";1
165;"Jungwirth, H.";
166;"Maurer, J. (LfD)";14
167;"Naue, J.";
168;"Thenn, Th.";
169;"Mayer, F. A.";
170;"Brembs (Forstinspektor)";4
171;"Schumacher (Forstmeister)";4
172;"Aurbach, J.";
173;"Schmid, J. (Anthropologe, Schneidermeister, Totengräber)";
174;"Kellermann (Gebrüder)";
178;"Fraas, E.";
179;"Eisenlohr (Reutlinger Geschichtsverein)";
182;"Bleibimhaus (Forstinspektor)";4
183;"Helmle (Forstmeister)";4
192;"Steinmetz, G.";
193;"Groh (Gendarmeriekommandant)";9
194;"Hoffmann, I. A.";
195;"Walderdorff, H. Graf von";12
196;"Schwemmer (Eisenbahningenieur)";6
197;"Filchner (Revierförster)";4
198;"Straßner, W.";
199;"Hösch, H.";
200;"Wagner, H.";
201;"Herlitz, M.";
202;"Werner, G. (Steinhauer)";10
203;"Historischer Verein Neumarkt";
204;"Lutter (Bauer)";5
205;"Speier (Apotheker)";7
206;"Scharf, C. (Drogist)";7
207;"Hayn, J. (Gerichtsvollzieher)";8
208;"Groll, Th. (Historischer Verein Neumarkt)";
209;"Klier (Organist)";1
210;"Gottschalk (Pfarrer)";1
211;"Weidner (Rechtsanwalt)";8
212;"Megerer, P.";
214;"Schäfer (Geometer)";6
215;"Gminder, E.";
216;"Dehoff (Grenzkontrolleur)";9
217;"Schaetzler, Baron von";12
218;"Trinkl, H.";
221;"Freudenreich, J. G.";
222;"Buzorini, M.";
223;"Gaus, Eugen (Prof., Reallehrer)";2
224;"Hedinger, August (Dr., Medizinalrat)";15
225;"Steinhart, H. (Oberamtspfleger, Ellwangen)";1
226;"Goessler, P.";14
232;"Dauber, A.";
233;"Baur, J. (Pfarrer)";1
234;"Flacho, C.";
235;"Museum Kaufbeuren";
236;"Hist. Ver. Neu-Ulm";
237;"Hist. Ver. Regensburg";
239;"Nagel, A.";
245;"Wetzel (Lehrer)";2
246;"Hager (Schultheiss)";13
247;"Deufel (Pfarrverweser)";1
254;"Dorner (Rektor)";2
255;"Michahelles";
256;"Zschichang (Bausekretär)";6
257;"Ilg (Pfarrer)";1
260;"Hundt, M.";
261;"Rück, D.";
262;"Fink, G.";
263;"Pichler, O. (Pfarrer)";1
264;"Kapff, E.";
265;"Brüsselle-Schaubeck, Frhr. v.";12
266;"Hermann (Oberlehrer)";2
268;"Huber, W. (LfD)";14
269;"Neidhart, M.";
270;"Stark, B.";
271;"Ulrich, J.";
272;"Mayer, F. X. (Pfarrer in Pondorf)";2
273;"Witscher, A.";
274;"Haldenwang, v. (Hauptmann)";3
275;"Stählin (Hauptmann)";3
277;"Knarr, F.";
278;"Streit, W.";
279;"Übelacker, L.";
280;"Vogel, Chr.";
281;"Huber, Dr. (NHG Nürnberg)";
282;"Schlenk, G.";
284;"Oetinger (Pfarrer)";1
