"Beigabennummer";"Beigabenmaterial";"Beigabentyp";"Beigabenvariante"
2;2;3;1
4;4;21;301
5;3;5;1
8;1;72;1
9;2;8;1
10;2;9;1
13;2;10;1
15;2;11;1
16;2;12;1
17;2;14;1
18;2;16;1
19;2;15;1
23;4;18;1
25;2;19;7
27;1;97;11
28;1;94;8
32;1;89;1
34;1;97;15
36;1;94;1
37;1;90;300
38;4;21;17
39;4;21;18
40;4;21;19
43;2;22;1
45;2;24;1
48;2;2;23
52;2;26;1
55;4;28;25
56;4;21;26
58;2;14;27
61;4;28;28
62;2;34;1
63;2;33;1
64;2;32;1
65;2;31;1
66;2;14;29
67;4;18;30
68;2;41;55
69;2;32;57
70;2;19;1
72;2;16;47
73;2;2;34
74;1;90;12
75;1;95;73
76;1;72;5
77;4;21;1
78;4;21;74
81;4;28;76
82;1;95;77
84;4;36;1
85;2;37;1
86;2;2;36
87;1;95;78
88;1;95;79
90;2;39;1
91;4;40;1
92;4;21;81
94;2;14;42
97;2;42;1
98;2;8;82
99;1;95;83
100;4;21;84
102;2;2;32
103;4;21;85
104;2;43;1
107;4;28;87
109;2;44;1
110;3;45;1
111;4;103;46
112;2;41;53
113;2;14;39
115;2;8;68
118;2;9;60
119;2;2;37
121;1;90;90
122;2;16;48
124;2;2;33
126;1;95;91
127;1;89;92
129;2;2;31
130;2;46;94
131;2;12;56
133;2;47;1
137;2;14;43
138;1;94;95
139;1;95;96
140;2;79;97
143;1;95;99
145;1;90;101
146;2;8;102
147;2;32;103
151;2;12;105
152;1;94;106
153;2;14;107
154;2;14;108
157;2;12;110
158;2;50;1
159;2;51;1
161;3;52;1
162;2;41;1
165;4;28;250
166;4;28;1
167;3;54;1
168;4;55;1
169;4;56;1
170;3;57;1
171;2;58;1
172;2;59;1
173;2;60;1
174;2;61;1
176;4;62;1
177;2;63;1
178;2;48;1
179;3;64;1
181;2;65;1
183;2;68;1
184;2;69;1
187;4;72;1
189;4;74;1
191;4;76;1
195;2;14;112
197;2;79;114
198;2;79;113
199;1;90;115
200;1;97;120
203;1;90;119
204;1;90;116
207;2;42;123
208;2;14;124
210;1;134;1
212;2;79;1
214;2;80;1
215;1;90;1
216;2;14;130
219;4;16;259
220;2;12;131
222;4;81;1
224;1;97;1
226;4;81;138
227;4;81;137
228;4;81;139
230;4;16;25
233;1;89;143
235;2;16;145
237;1;89;146
244;2;41;150
246;2;14;152
248;2;2;153
249;2;2;154
250;1;95;155
253;1;94;157
254;1;95;158
255;2;2;159
256;2;14;160
260;4;85;1
261;1;95;165
262;1;95;166
263;2;2;167
268;2;14;173
270;2;12;174
271;2;14;175
272;2;86;1
273;2;12;176
274;2;15;177
275;1;95;178
276;2;83;179
277;2;34;180
279;4;16;250
282;4;55;25
286;4;101;1
289;1;94;187
290;2;14;188
291;2;14;189
292;4;21;190
294;2;34;192
296;4;21;194
297;2;12;195
299;1;97;197
300;2;14;198
302;1;95;199
304;2;8;201
306;1;95;203
307;2;12;204
310;1;90;207
312;2;16;209
315;1;95;211
316;2;12;212
317;2;16;213
321;2;107;1
322;2;19;217
325;2;2;1
327;2;14;221
328;2;109;1
329;2;14;222
331;2;2;224
332;2;12;225
333;2;41;226
334;2;12;227
337;2;12;229
338;2;2;230
339;2;2;231
341;3;112;1
342;1;97;232
346;2;2;234
349;2;115;1
350;2;2;236
352;2;2;238
355;2;42;241
356;2;14;242
357;1;90;244
358;2;83;245
359;2;116;1
360;2;14;246
361;4;117;1
362;2;46;247
363;2;12;248
364;2;46;249
365;4;12;250
366;4;28;251
367;2;12;252
368;2;2;253
370;2;15;176
371;2;16;255
372;2;56;1
373;2;118;1
374;2;16;257
376;4;56;259
377;4;56;260
378;4;21;261
379;2;119;1
380;2;120;1
381;2;14;262
382;2;2;263
383;2;47;264
385;2;121;1
387;1;94;266
388;2;2;267
389;4;28;260
394;2;41;176
395;2;124;1
396;4;55;74
397;4;56;25
398;2;2;274
401;4;125;1
404;2;2;279
405;2;126;1
406;4;127;1
407;2;14;280
408;4;55;260
409;3;52;281
410;2;2;282
411;2;12;283
412;2;46;285
413;2;46;286
414;2;46;284
416;2;46;288
417;2;128;1
419;4;130;1
420;2;46;290
421;2;12;291
422;2;41;292
425;2;131;1
426;2;14;295
427;1;95;296
429;2;132;1
430;3;133;1
432;4;16;251
433;4;16;260
