"Grab";"Bestattungsnummer";"Bestattungsbezeichnung";"Bestattungsbeschreibung";"Bestattungsmodus";"Bestattungsausrichtung";"Bestattungserhaltung";"Bestattungslage"
45;4;"Grab 1/I";"Nur Schädelfragmente";2;9;3;11
47;5;"1/II";"Individuum leicht aus Kammerachse nach W verschoben";2;14;1;8
59;6;"2/I";"Nur Reste einer gestörten Körperbestattung";2;9;3;11
59;7;"2/II";"Nur Reste einer Brandbestattung entdeckt, im Bereich der Steinpackung";3;9;3;11
63;8;"3/I/1";"Knochen befanden sich nicht mehr im anatomischen Verband";2;9;3;11
63;9;"3/I/2";"Knochen befanden sich nicht mehr im anatomischen Verband";2;9;3;11
63;10;"3/I/3";"Knochen befanden sich nicht mehr im anatomischen Verband";2;9;3;11
67;11;"3/II/1";"Es fehlen distale Abschnitte der Oberschenkel, die Unterschenkel + Füße; Oberschenkelenden ""alt"" gebrochen, keine Hinweise auf Amputation";2;5;1;8
71;13;"Grab 5";;3;9;3;11
72;12;"Grab 4/Best. 1";"Da moderne Beraubung stattfand, war keine anthropologische Untersuchung möglich; von der Länge des Humerus auf Grabungsskizze zu schließen Kind ca. 10 Jahre alt (also deutlich Infans II); Körper stak offensichtlich schräg im Erdreich: Schädel lag 30 cm hö";2;5;4;11
73;14;"6/17/1";"In Grab 6 Leichenbrand eines jüngererwachsenen, eher weiblichen Individuums, in Grab 17 in Gefäß adultes, eher weibliches Individuum; wohl identisch; Leichenbrand nicht nur in Urne, sondern auch in Verfüllung; signifikant?";3;9;3;2
73;15;"6/17/2";"Zusammen mit Individuum 6/17/2 in Urne gelegen; entweder neonat oder noch ungeboren";3;9;3;2
74;16;"Grab 7";"Leichenbrand befand sich mit holzkohliger Erde in Gefäß, war aber nicht aufzufinden";3;9;4;11
75;17;"9/19";"Nicht ganz sicher, daß Reste zu einem Individuum gehören";3;9;3;11
77;18;"8";;3;9;3;11
78;19;"8a";"ca. 4jähriges Individuum; 10cm unterhalb von Planum 1 mit Leichenbrand von Individuum 8 [laut Text Kopf im Süden; Plan nicht eindeutig, evtl. Norden, wahrscheinlicher aber Nordpfeil falsch?]";2;5;2;1
79;20;"10";"[Keine Angaben bei F. N., außer allgemein: Leichenbrand]";3;9;4;11
80;21;"10a";"Sicher Kind, Infans";3;9;1;11
81;22;"11";"Lediglich Leichenbrand erwähnt, derzeit nicht auffindbar";3;9;4;11
82;23;"12/I/1";"Keinerlei weitere Angaben";2;9;3;11
82;24;"12/I/2";"Keinerlei weitere Angaben";2;9;3;11
82;25;"12/i/3";"Keinerlei weitere Angaben";2;9;3;11
83;26;"12/II/1";"Bestattung leicht nach Westen verschoben";2;5;1;8
