"Literaturnummer";"Bestattungsnnummer";"Seitenzahl";"Katalognummer";"Abbildung"
858;173;"159";"Grab XIII";
976;505;"40";;
976;506;"43";;
976;507;"44";;"Abb. 14"
976;509;"45";;
976;513;"47";;
976;514;"47";"Nebengrab 17";
976;517;"48";;
976;519;"48";;
976;523;"47";"Nebengrab 23";
976;530;"42";;
976;535;"42";;
976;540;"43";"Nebengrab 8";
976;542;"13";;
976;875;"80";"Grab 3";
976;887;"81";"Grab 6";
976;1667;"47";"Nebengrab 18";
1162;1679;"46";"Grab 1";
1162;1680;"64";"Grab 1";
1162;1681;"70";"Grab 3";
1162;1682;"78";"Grab 4";
1162;1683;"87";"Grab 5";
1162;1684;"93";"Grab 7";
1233;1973;"172";"Grabhügel 1";
1233;1974;"172";"Grabhügel 34";
1242;47;"230";"28/I/2";
4798;1391;"154";"Grab 7";"Taf. 146 oben"
4798;1392;"155";"Grab 8";
4798;1393;"155";"Grab 9";
4798;1394;"156";"Grab 10";
4798;1395;"156f.";"Grab 11";
4798;1396;"158";"Grab 12";
4798;1397;"158";"Grab 13";
4798;1398;"159";"Grab 14";
4798;1400;"160";"Grab 17";"Taf. 154"
4798;1401;"161";"Grab 18";"Taf. 155 oben"
4798;1402;"161";"Grab 19";"Taf. 156"
4798;1403;"161";"Grab 20";"Taf. 157"
4798;1404;"161";"Grab 21";"Taf. 158"
4798;1405;"162";"Grab 22";"Taf. 159"
4798;1406;"162";"Grab 23";
4798;1407;"163";"Grab 24";
4798;1408;"163";"Grab 25";
4798;1409;"164";"Grab 26";"Taf. 164 oben"
4798;1410;"164";;
4798;1411;"164";"Grab 27";"Taf. 164 unten"
4798;1412;"164";"Grab 28";"Taf. 165 oben"
4798;1413;"164";"Grab 29";"Taf. 165 unten"
4798;1414;"165";"Grab 30";"Taf 166 unten"
4798;1415;"165";"Grab 31";"Taf. 166 oben"
4798;1416;"165f.";"Grab 32";"Taf. 168"
4798;1417;"166";"Grab 33";
4798;1418;"166";"Grab 34";
6305;2614;"89 Anm. 352";;
6305;2615;"89 Anm. 352";;
6781;4;"198";;
6781;5;"198";"1/II";
6781;6;"200";"2/1";
6781;7;"200";"2/II";
6781;8;"200";"3/I/1";
6781;9;"200f.";"3/I/2";
6781;10;"200f.";"3/I/3";
6781;11;"200ff.";"3/II/1";"48"
6781;12;"203";"4";"49"
6781;13;"204";"5";"50"
6781;14;"204; 217";"6/17/1";
6781;15;"217";"6/17/2";
6781;16;"205";"7";
6781;17;"206; 218";;
6781;18;"206f.";"8";
6781;19;"206f.";"8a";"55"
6781;21;"208";"10a";"56f."
6781;22;"209";"11";"56f."
6781;23;"209";"12/I/1";
6781;24;"209";"12/I/2";
6781;25;"209";"12/i/3";
6781;26;"209";"12/II/1";"58"
6781;27;"211";"13/I";
6781;28;"211";"13/II/2";
6781;29;"211";"13/II/1";"59"
6781;30;"213";;
6781;32;"214";;"62"
6781;33;"215";;
6781;34;"218";;
6781;35;"219";;
6781;36;"219";;
6781;37;"219";;
6781;38;"220";"22/II/1";"69"
6781;39;"220";"22/II/2";
6781;40;"221";;"71"
6781;41;"223";"24";"72"
6781;42;"225";"26";"73"
6781;43;"221";"23/I";
6781;44;"228";"27/1";"74"
6781;45;"228";"28/2";
6781;46;"230";"28/I/1";
6781;48;"230";"28/II";
6781;49;"233";"29";"77"
6781;50;"235";"30/I";
6781;51;"235";"30/II";"78"
6781;52;"238";"31";"79"
6781;53;"241";"32";"80"
6781;54;"243";"33/1";"81"
6781;55;"243";"33/2";"81"
6781;56;"246";"35";"82"
6781;57;"249";"36/1";"83"
6781;58;"249";"36/2";
6781;59;"249";"36/3";
6781;60;"249";"36/4";
6781;61;"251";"37/1";"84"
6781;62;"251";"37/3";"84"
6781;63;"251";"37/3";"84"
6781;64;"251";"37/4";"84"
6781;65;"251";"37/5";"84"
6781;66;"254";"38/1";"85"
6781;67;"254";"38/2";"85"
6781;68;"255";"39";
6781;69;"256";"41";
6781;70;"257";"42";
6781;71;"258";"43";
6781;72;"258";"44/1";
6781;73;"258";"44/2";
6781;74;"258";"45";
6781;75;"259";"46";"91"
6781;76;"262";"47";
6781;77;"262";"48";
6781;78;"264";"50";
6781;79;"265";"51/I/1";
6781;80;"265";"51/I/2";
6781;81;"265";"51/I/3";
6781;82;"265";"51/II/1";"99"
6781;83;"265";"51/II/2";"99"
6781;84;"268";"52";
6781;86;"271";"53";
6781;87;"274";"54";
6781;88;"276";"55";
6781;89;"277";;
6781;90;"277";;
6781;91;"277";"57";"106"
6781;92;"279";"58/I";
6781;93;"279";"58/II";
6781;94;"280";"59";
6781;95;"282";"62";
