"Bestattung";"Leichenbranddeponierung"
13;4
14;1
15;1
16;1
17;3
17;4
18;3
18;4
20;3
20;4
21;1
22;3
22;4
28;2
30;3
30;4
33;4
34;3
34;4
35;4
36;3
39;1
59;1
60;3
68;1
69;3
69;4
70;1
71;3
71;4
72;1
73;1
76;2
76;4
77;4
78;3
78;4
84;3
86;3
87;3
89;3
89;4
94;4
95;2
95;4
106;3
107;3
111;3
112;3
114;3
116;2
117;2
120;1
120;4
122;1
122;4
123;1
123;4
124;3
125;1
129;4
130;2
133;3
134;1
135;3
136;2
137;2
138;1
139;1
140;1
141;1
142;1
143;2
144;1
145;1
146;2
147;1
148;1
149;3
150;3
151;3
152;1
153;3
156;1
159;2
160;2
170;2
170;4
171;2
171;4
172;3
173;2
173;4
183;3
231;3
231;4
293;3
315;3
315;4
316;1
316;3
316;4
317;1
317;3
317;4
318;3
319;1
319;3
320;3
321;1
322;1
323;3
324;1
325;1
325;3
325;4
326;3
326;4
327;1
328;3
329;1
329;3
330;1
331;1
332;1
332;3
333;1
333;3
334;3
334;4
336;1
338;1
339;1
339;3
340;1
342;1
342;3
343;3
628;3
666;3
666;4
730;1
759;2
768;2
776;3
792;2
811;2
836;2
837;2
1035;1
1056;2
1112;2
1139;1
1140;2
1141;3
1142;3
1143;3
1144;1
1148;3
1149;1
1151;1
1153;3
1155;3
1156;1
1157;3
1158;3
1160;1
1161;1
1162;1
1163;1
1164;1
1166;3
1168;1
1169;3
1170;3
1171;1
1172;3
1175;1
1178;1
1179;3
1180;3
1182;1
1185;1
1192;1
1195;1
1204;1
1205;1
1206;1
1208;1
1209;1
1210;1
1211;1
1212;3
1215;4
1221;1
1222;1
1223;1
1224;1
1228;3
1231;3
1232;3
1232;4
1235;1
1236;1
1237;1
1237;4
1238;3
1240;1
1242;3
1243;2
1247;1
1248;3
1249;4
1251;1
1252;3
1253;4
1254;3
1255;3
1259;3
1262;3
1263;3
1263;4
1264;3
1266;3
1267;4
1268;2
1269;2
1270;3
1271;2
1272;3
1273;3
1274;3
1275;2
1276;3
1277;1
1277;4
1279;3
1279;4
1280;1
1281;1
1282;1
1283;1
1284;1
1301;3
1304;1
1310;1
1325;1
1326;1
1327;1
1333;1
1334;3
1376;2
1377;1
1379;1
1381;3
1384;2
1384;3
1387;1
1387;2
1388;2
1388;4
1389;1
1390;3
1390;4
1399;1
1406;1
