"Katalognummer";"Fundplatznummer";"Fundplatzcharakter";"Fundplatzbeschreibung";"X";"Y";"Lokalitätsnummer";"Gemarkung";"Flurname";"Hügelzahl";"Publikationsqualität";"Objektlokalisation";"Ältere_Hallstattzeit";"Jüngere_Hallstattzeit";"Neolithikum";"Bronzezeit";"Urnenfelderzeit";"Latènezeit";"Römische_Kaiserzeit";"Frühmittelalter";"Mittelalter";"Neuzeit"
1;548;1;"Gruppe von etwa 15 Hügeln, 1200 m ssö von Ort; Grabungen vor 1877 in 4 Hügeln vom Altertumsverein Neresheim";3587000;5406000;699;"Ebnat";"'Badsäulen'";15;3;1;0;1;0;0;0;0;0;0;0;0
2;2647;1;"Ausgedehnte Gruppe von 100 Hügeln, 1900 m nnö von Ortskirche (Ausdehnung: 420 x 320 m); Angrabung 1925 von Besitzer Alkofer (1 Hügel)";3709000;5420000;2172;"Holzharlanden";;100;3;1;0;0;0;0;0;0;0;0;0;0
3;1847;1;"Gruppe von 10 Hügeln, ca. 1000 m s von Ort; Abtragung der Hügel 1922; einige Hügel enthielten neben bronze- auch hallstatt- und latènezeitliche Funde [Dokumentation offensichtlich nicht verwertbar]";3634000;5449000;1271;"Kalbensteinberg";"'Eichet'";10;3;1;0;1;0;1;0;1;0;0;0;0
4;1755;1;"Mehrere Grabhügel, 1470 m wsw der Kirche von Ort, über dem Steilabfall eines Trockentales; Schürfungen an einem Hügel Anfang 20. Jhs.";3584000;5478000;1213;;"'Hinteres Gemeindeholz'";2;3;1;0;1;0;0;0;0;0;0;0;0
5;1546;1;"Gruppe von 4 Hügeln, 650 m n-nnö der Kirche von Ort; 1 Hügel wurde 1819 von Caron du Val geöffnet und weitgehend zerstört. Nach Beschreibung hallstattzeitlicher Grabhügel mit römischer Nachbestattung (Münze des Tiberius). Im Bereich des  Grabhügelfeldes k";3643000;5371000;17;"Anwalting";"'Eichet', 'Bergbreiten' ('Eichholz')";4;3;1;0;1;0;0;0;0;1;0;0;0
6;1547;1;"Gruppe von 5 Hügeln, 1400 m sö der Kirche von Ort; 1 Hügel wurde 1819 von Carron du Val geöffnet. Die Funde sind nach der Beschreibung hallstattzeitlich; Literatur: OA LfD. - Bodendenkmäler in Bayern (1977) 530. - Weber, F., Die vorgeschichtlichen Denkmal";3645000;5370000;17;"Anwalting";"'Notholz' ('Kaderhölzchen')";5;3;1;0;0;0;0;0;0;0;0;0;0
7;7;2;"Grabhügel, 1100 m sö von Ort; Grabung 1911 von Pfarrer Niedderer und Oberförster Steidel; u. a. Wagenreste (nach Baitinger evtl. schnurkeramische Zentralbestattung)";3502000;5469000;18;"Breitenbronn";"'Häldenwald' ('Merkelwald')";1;3;1;1;0;0;0;0;0;0;0;0;0
8;2663;2;"Einzelner Grabhügel, 1500 m osö von Schloß Puchhof; von hier wohl ""HaC2""-Funde";3755000;5426000;1978;"Puchhof";"'Lampelberg'";1;3;1;1;0;0;0;0;0;0;0;0;0
9;830;2;"Grabhügel, nicht mehr genau zu lokalisieren; durch Beackerung bereits im 19. Jh. zerstört; HaC";3669000;5522000;808;"Oberailsfeld";;;3;0;1;0;0;0;0;0;0;0;0;0
10;833;2;"Grabhügel, 570 m ssö der Ortsmitte; im letzten Viertel des 19. Jhs. angetrichtert; HaD";3671000;5522000;808;"Pfaffenberg";;1;3;1;0;1;0;0;0;0;0;0;0;0
