"Literaturnummer";"Fundplatznummer";"Seitenzahl";"Katalognummer"
490;3004;;
504;3003;;
505;124;;
506;122;"317f.";
506;124;"403ff.";
506;125;"319f.";"1"
506;126;"320";"2"
506;518;"328f.";
506;528;"454ff.";
506;640;"445";
506;642;"483";"1"
506;643;"326f.";
506;667;"433f.";
506;743;"405f.";
506;1975;"485";"3"
506;2096;"473";
506;2182;"447";
506;2391;"408ff.";
506;2522;"327f.";
506;3049;"483";"2"
506;3050;"485";"4"
506;3074;"287ff.";
508;2333;;
645;960;"33f.";
660;106;"184";"130"
660;140;"269";"418"
660;1545;"186f.";"136"
660;1546;"150f.";"36"
660;1547;"151";"37 (unter 'Aulzhausen')"
660;1550;"143";"17"
660;1551;"166f.";"86"
660;1552;"158ff.";"68"
660;1553;"160";"69"
660;1555;"154";"51"
660;1556;"149f.";"34"
660;1557;"143";"18"
660;1558;"149";"33"
660;1560;"184";"131"
660;1562;"154";"52"
660;1564;"151";"41"
660;1565;"151";"39"
660;1570;"152";"44"
660;1571;"151";"42"
660;1572;"151";"40"
660;1573;"151";"40"
660;1574;"151";"43 (unter 'Bachern')"
660;1575;"187";"138"
660;1576;"188";"141"
660;1577;"188";"140"
660;1578;"187f.";"139"
660;1580;"188";"142"
660;1628;"185";"132,2; 133"
660;1629;"184f.";"132"
660;1631;"136";"9"
660;1632;"185";"133 (unter 'Graben')"
660;1633;"185";"133 (unter 'Graben')"
660;1637;"136";"9"
660;1639;"185f.";"134"
660;1640;"185";"134"
660;1642;"137ff.";"11-12"
660;1643;"136f.";"10"
660;1644;"174";"100"
660;1654;"149";"31"
660;1655;"146ff.";"27"
660;1656;"146";"25"
660;1657;"145";"23"
660;1658;"144f.";"22"
660;1659;"146";"26"
660;1660;"144";"20"
660;1662;"149";"29"
660;1663;"143f.";"19"
660;1666;"141";"14"
660;1669;"149";"30"
660;1671;"142f.";"16"
660;1672;"150";"35"
660;1673;"164";"78"
660;1674;"164";"79"
660;1675;"166";"85"
660;1677;"172";"92"
660;1678;"165";"81"
660;1679;"171f.";"90"
660;1680;"167ff.";"89"
660;1681;"165";"82"
660;1682;"172";"91"
660;1683;"167";"88"
660;1684;"172";"95"
660;1686;"172f.";"96"
660;1687;"161";"70"
660;1689;"161";"74"
660;1690;"156";"59"
660;1691;"156";"60"
660;1692;"152";"45"
660;1693;"153";"48"
660;1695;"156";"62"
660;1697;"155";"56 ('Ettenbeuren')"
660;1698;"155";"58"
660;1699;"155";"55"
660;1701;"161";"72"
660;1703;"161";"73"
660;1705;"154f.";"54"
660;1706;"154";"53"
660;1707;"161";"71"
660;1709;"161f.";"75"
660;1711;"135";"6"
660;1712;"135";"5"
660;1713;"135";"7"
660;1714;"133f.";"1"
660;1717;"163";"76"
660;1718;"165";"83"
660;1721;"157";"64"
660;1722;"157f.";"66"
660;1723;"158";"67"
660;1726;"180";"118"
660;1727;"182";"124"
660;1728;"182f.";"125"
660;1730;"179";"111"
660;1731;"183";"126"
660;1733;"180";"119 [unter 'Holzschwang']"
660;1736;"182";"122"
660;1737;"182";"123"
660;1740;"180ff.";"121"
660;1741;"179";"113"
660;1742;"179";"112"
660;1744;"180";"120"
660;1746;"180";"117"
660;1747;"183";"129"
660;1750;"254";"345"
660;1820;"135f.";"8"
660;2229;"272";"433 [unter 'Kneiting']"
660;2233;"274f.";"445"
660;2245;"271";"430 [unter 'Burgweinting']"
660;2246;"271f.";"431 [unter 'Burgweinting']"
660;2247;"272";"432 [unter 'Harting']"
660;2248;"272f.";"435 [unter 'Moosham-Aukofen']"
660;2249;"273";"437"
660;2250;"273";"438 [unter 'Petzkofen']"
660;2251;"273";"439"
660;2252;"273";"439"
660;2254;"274";"440 [unter 'Sarching']"
660;2255;"274";"443"
660;2257;"271";"427"
660;2258;"271";"428"
660;2366;"141";"15"
660;2441;"155";"57"
660;2476;"151";"38"
660;2546;"260";"370 [unter 'Schönbrunn-Haag']"
660;2632;"260";"372 [unter 'Wolfsbach']"
660;2633;"268";"411"
660;2634;"257f.";"364 [unter 'Haunersdorf']"
660;2635;"269";"419 [unter 'Oberpöhring']"
660;2636;"250";"330"
660;2637;"250";"329"
660;2640;"256";"359"
660;2641;"256";"360 [unter 'Haunersdorf']"
660;2643;"251";"333 (unter 'Tunding')"
660;2644;"257f.";"364"
660;2645;"255";"355 (unter 'Staatswald Essinger Forst')"
660;2646;"255f.";"356 (unter 'Strausacker')"
660;2648;"254f.";"346.348-351"
660;2649;;"357"
660;2650;"259";"368"
660;2651;"259f.";"369"
660;2653;"262f.";"379"
660;2654;"260";"371 (unter 'Veitsbuch')"
660;2658;"262";"378"
660;2659;"252";"335"
660;2660;"251f.";"334"
660;2662;"252";"336"
660;2663;"265";"390"
660;2665;"261";"373"
660;2668;"261f.";"377 (unter Hadersbach')"
660;2729;"174";"98"
660;2730;"174";"101"
660;2731;"174";"102"
660;2732;"175f.";"103"
660;2733;"176";"104"
660;2734;"176";"105"
660;2735;"177f.";"107.108"
660;2736;"178";"109 [unter 'Weichering']"
660;2737;"178f.";"110"
660;2738;"187";"137"
660;2739;"189f.";"144 [unter 'Emmerting-Bruck']"
660;2740;"190";"145"
660;2741;"190f.";"146 (unter 'Gufflham')"
660;2742;"191";"147"
660;2754;"191";"150"
660;2755;"191";"151"
660;2756;"191";"152"
660;2757;"191f.";"153"
660;2758;"192";"154"
660;2759;"193";"156"
660;2760;"193";"157"
660;2761;"193";"159"
660;2762;"194";"162"
660;2763;"194";"164"
660;2764;"196";"170"
660;2765;"196";"170"
660;2766;"196";"171 (unter 'Kammerberg-Weissling')"
660;2767;"196";"172"
660;2768;"197";"174 (unter 'Schlipps')"
660;2769;"197";"175"
660;2770;"198";"176"
660;2771;"198";"177"
660;2772;"198";"178"
660;2773;"198";"180"
660;2774;"199f.";"181"
660;2775;"200";"182 (unter 'Mittelstetten')"
660;2776;"200";"183"
660;2777;"200";"184"
660;2778;"200";"185"
660;2779;"200f.";"186"
660;2780;"201ff.";"187"
