"Fundplatz";"Gebiet"
2529,00;6,00
2528,00;6,00
1545,00;11,00
1547,00;11,00
1546,00;11,00
2283,00;8,00
2264,00;8,00
11,00;8,00
2282,00;8,00
2288,00;8,00
2262,00;8,00
1751,00;8,00
2259,00;8,00
2267,00;8,00
1749,00;8,00
2263,00;8,00
2981,00;10,00
1549,00;10,00
1548,00;10,00
2651,00;13,00
1714,00;11,00
1715,00;11,00
1713,00;11,00
1712,00;11,00
1711,00;11,00
1710,00;11,00
1550,00;10,00
1552,00;11,00
1553,00;11,00
1551,00;11,00
2879,00;12,00
2875,00;12,00
2878,00;12,00
2880,00;12,00
2877,00;12,00
1555,00;11,00
1554,00;11,00
1558,00;10,00
1557,00;10,00
1556,00;10,00
1559,00;10,00
1560,00;11,00
1561,00;11,00
106,00;11,00
1563,00;11,00
1562,00;11,00
140,00;13,00
922,00;8,00
923,00;8,00
750,00;8,00
141,00;8,00
1860,00;10,00
771,00;8,00
780,00;8,00
761,00;8,00
784,00;8,00
745,00;8,00
824,00;8,00
798,00;8,00
781,00;8,00
769,00;8,00
790,00;8,00
746,00;8,00
845,00;8,00
888,00;8,00
889,00;8,00
890,00;8,00
887,00;8,00
755,00;8,00
796,00;8,00
789,00;8,00
747,00;8,00
791,00;8,00
748,00;8,00
931,00;8,00
823,00;8,00
749,00;8,00
804,00;8,00
788,00;8,00
893,00;8,00
894,00;8,00
895,00;8,00
896,00;8,00
751,00;8,00
892,00;8,00
754,00;8,00
756,00;8,00
774,00;8,00
883,00;8,00
886,00;8,00
884,00;8,00
777,00;8,00
757,00;8,00
900,00;8,00
760,00;8,00
759,00;8,00
899,00;8,00
901,00;8,00
809,00;8,00
762,00;8,00
821,00;8,00
806,00;8,00
763,00;8,00
805,00;8,00
764,00;8,00
770,00;8,00
776,00;8,00
765,00;8,00
785,00;8,00
906,00;8,00
773,00;8,00
792,00;8,00
825,00;8,00
766,00;8,00
817,00;8,00
818,00;8,00
768,00;8,00
799,00;8,00
944,00;8,00
945,00;8,00
772,00;8,00
950,00;8,00
948,00;8,00
3043,00;8,00
932,00;8,00
795,00;8,00
953,00;8,00
951,00;8,00
949,00;8,00
946,00;8,00
852,00;8,00
851,00;8,00
775,00;8,00
850,00;8,00
849,00;8,00
848,00;8,00
778,00;8,00
787,00;8,00
902,00;8,00
779,00;8,00
782,00;8,00
876,00;8,00
783,00;8,00
786,00;8,00
810,00;8,00
793,00;8,00
942,00;8,00
794,00;8,00
943,00;8,00
839,00;8,00
797,00;8,00
904,00;8,00
905,00;8,00
800,00;8,00
801,00;8,00
812,00;8,00
891,00;8,00
802,00;8,00
803,00;9,00
807,00;8,00
808,00;8,00
811,00;8,00
822,00;8,00
813,00;8,00
814,00;8,00
815,00;8,00
816,00;8,00
819,00;8,00
820,00;8,00
828,00;8,00
827,00;8,00
826,00;8,00
829,00;8,00
835,00;8,00
831,00;8,00
832,00;8,00
834,00;8,00
830,00;8,00
833,00;8,00
838,00;8,00
836,00;8,00
837,00;8,00
842,00;8,00
841,00;8,00
840,00;8,00
843,00;8,00
844,00;8,00
847,00;8,00
846,00;8,00
853,00;8,00
864,00;8,00
863,00;8,00
862,00;8,00
861,00;8,00
860,00;8,00
859,00;8,00
857,00;8,00
856,00;8,00
854,00;8,00
855,00;8,00
872,00;8,00
868,00;8,00
865,00;8,00
866,00;8,00
867,00;8,00
869,00;8,00
871,00;8,00
870,00;8,00
873,00;8,00
2924,00;8,00
874,00;8,00
875,00;8,00
878,00;8,00
877,00;8,00
879,00;8,00
880,00;8,00
882,00;8,00
881,00;8,00
897,00;8,00
