"Gemeindenummer";"Gemeinde"
2;"Würzburg"
3;"Aichach"
5;"Affing"
6;"Aglasterhausen"
7;"Aichstetten"
8;"Aichtal"
10;"Riedenburg"
11;"Albstadt"
12;"Alerheim"
13;"Allensbach"
14;"Allmendingen"
15;"Altdorf"
16;"Altheim"
19;"Ammerbuch"
20;"Appenweier"
23;"Asperg"
25;"Oggelsbeuren"
27;"Augsburg"
28;"Bachhagel"
29;"Bad Buchau"
30;"Bad Friedrichshall"
31;"Bad Krozingen"
32;"Bad Mergentheim"
33;"Bad Rappenau"
34;"Bad Schussenried"
35;"Bad Wörishofen"
36;"Baden-Baden"
39;"Baindt"
40;"Balingen"
45;"Beimerstetten"
48;"Berg"
49;"Berghülen"
52;"Bernstadt"
53;"Besigheim"
54;"Bibertal"
57;"Bissingen"
60;"Bitz"
61;"Blaubeuren"
62;"Blaustein"
64;"Bobingen"
65;"Böblingen"
67;"Böttingen"
74;"Bopfingen"
78;"Boxberg"
79;"Brackenheim"
80;"Bräunlingen"
81;"Breisach"
83;"Brigachtal"
84;"Bruchsal"
86;"Bubesheim"
87;"Bubsheim"
88;"Buchen (Odenwald)"
89;"Buchheim"
90;"Künzing"
91;"Thurnau"
106;"Burladingen"
107;"Dautmergen"
108;"Deckenpfronn"
109;"Deißlingen"
110;"Dietenheim"
111;"Dotternhausen"
112;"Dußlingen"
113;"Ehingen (Donau)"
114;"Ehningen"
115;"Erkenbrechtsweiler"
116;"Ertingen"
117;"Gammertingen"
118;"Gechingen"
119;"Gemmrigheim"
120;"Gerlingen"
121;"Gosheim"
122;"Grundsheim"
123;"Haiterbach"
124;"Hegnach"
125;"Heimsheim"
126;"Hermaringen"
127;"Hessigheim"
128;"Hettingen"
129;"Illingen"
130;"Ilsfeld"
131;"Kirchheim unter Teck"
132;"Kolbingen"
133;"Königsheim"
134;"Krauchenwies"
135;"Lauffen am Neckar"
136;"Ludwigsburg"
137;"Mahlstetten"
138;"Mauenheim"
139;"Mögglingen"
140;"Mössingen"
141;"Mühlacker"
142;"Emerkingen"
143;"Nattheim"
144;"Nehren"
145;"Neresheim"
146;"Neuhausen auf den Fildern"
147;"Neuhausen ob Eck"
148;"Nürtingen"
149;"Obermarchtal"
150;"Pfronstetten"
151;"Ravensburg"
152;"Reutlingen"
153;"Rottenburg a. N."
154;"Rottweil"
155;"Rutesheim"
156;"Scheer"
157;"Schlaitdorf"
158;"Schönaich"
159;"Sigmaringen"
160;"Sigmaringendorf"
161;"Spaichingen"
162;"Steinenbronn"
163;"Steinheim am Albuch"
164;"Stuttgart"
165;"Sulz am Neckar"
166;"Tannheim"
167;"Tettnang"
168;"Trochtelfingen"
169;"Tübingen"
170;"Tuttlingen"
171;"Untergruppenbach"
172;"Bad Urach"
173;"Vaihingen a. d. Enz"
174;"Veringenstadt"
175;"Villingen-Schwenningen"
176;"Wannweil"
