"Grabkomplex";"Grabnummer";"Grabbezeichnung";"Grabbeschreibung";"Grabcharakter";"Graberhaltung";"Grabausrichung";"Grabniveau";"Grubenlänge";"Grubenbreite";"Grubentiefe";"Grabkammer";"Grabkammerlänge";"Grabkammerbreite";"Mehrfachbestattung";"Grabberaubung";"Verziegelung des Bodens";""Brandschicht"";"Holzwände";"Holzdecke";"Holzboden";"Steinwände";"Steindecke";"Steinboden";"Steinpackungsdurchmesser";"Besonderheiten";"Arch_Geschlechtsbestimmung"
10;45;"Grab 1/I";"Nur Reste einer verschleiften Nachbestattung gefunden";"3";3;9;2;;;;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
10;47;"Grab 1/II";"In den Kammerecken Aussparrungen, die für Blockbauweise mit überstehenden Enden sprechen";"2";1;5;3;;;0,00;1;3,00;2,80;0;0;0;0;1;0;0;1;1;0;5,50;1;0
16;59;"Grab 2/1";"Entdeckt beim Abdecken der Steinpackung, es deuteten sich teilweise Grenze einer Kammer oder Bestattungsfläche an, wirkliche Grabkammer ließ sich nicht nachweisen; F. N. spricht von biritueller Doppelbestattung";"4";3;9;1;;;;2;;;1;0;0;0;0;0;0;0;1;0;6,25;0;4
17;63;"3/I";"Nch dem Abdecken der ersten Steinlage zeigten sich Reste von drei Körperbestattungen [wohl nicht eigentliche Grabkammer; im Grabungsplan aber annähernd rechteckig gezeichnet]";"3";3;5;1;;;;4;;;1;0;0;0;0;0;0;0;0;0;;0;4
17;67;"3/II";"Grabkammergrundriß etwas unregelmäßig-trapezoid; teilweise lassen sich Scherben aus Zentral- + Nachbestattung aneinanderpassen [zumindest Teil der Keramik aus Grab 3/I also wohl tatsächlich zu Grab 3/II gehörend]";"2";2;5;3;;;0,00;1;3,00;2,50;0;0;0;0;0;0;0;0;1;0;6,00;0;0
18;82;"12/I";"Zwischen den Steinen der oberen Lage der Steinpackung Langknochen von Nachbestattungen, nicht mehr im anatomischen Verband; Beziehung unklar";"3";3;9;1;;;;3;;;1;0;0;0;0;0;0;0;0;0;;0;4
18;83;"12/II";"Kammergrenze besonders im Osten deutlich; Aussparrungen deuten auf Holzkonstruktion; einige überzählige Fußwurzelknochen evtl. von Nachbestattungen 12/I; Speisebeigaben im Norden";"2";1;7;3;;;0,00;1;2,90;2,70;0;0;0;0;1;0;0;0;1;0;6,00;1;0
19;84;"13/I";"Beim Abdecken der obersten Steinlage gefunden; keine Hinweise auf Grabbau";"3";3;9;1;;;;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
19;85;"13/II";"Keinerlei Hinweis auf Grabkammer, aber Beigabenanordnung spricht dafür; an Westseite Störung; in der Mitte Körperbestattung, östl. auf Höhe der Knie Leichenbrandhäufchen";"2";2;9;3;;;0,00;2;;;1;0;0;0;0;0;0;0;1;0;5,75;0;4
20;87;"15";"Keine Hinweise auf Grabkammerbegrenzung, wenn auch Steinabdeckung im Zentrum abgesunken war [Kammer aber anzunehmen]; F. N. vermutet Grabberaubung, da sich fragmentiertes Skelett im nicht mehr anatomischen Verband in Eintiefung fand";"2";3;9;3;;;0,00;2;;;0;1;0;0;0;0;0;0;1;0;5,00;0;0
21;92;"22/I";"Unmittelbar auf der oberen Steinlage Reste einer Körpernachbestattung; innerhalb eines durch größere Kalksteine sich abzeichnenden annähernd rechteckigen Bereichs";"3";3;9;1;;;;2;;;0;0;0;0;0;0;0;0;0;1;;0;3
21;93;"22/II";"Kammergrenzen wurden nicht beobachtet, lediglich im Profil deuten verkippte Steine entsprechendes an; Leichenbrand von Ind. 2 westl. der Füße von Ind. 1 in Gefäß, das wiederum von Schüssel abgedeckt war";"2";2;5;3;;;0,00;2;3,00;2,80;1;0;0;0;0;0;0;0;1;0;4,75;0;4
22;94;"23/I";"im Bereich der Steinpackung Fragmente eines Kindes";"3";3;9;1;;;;3;;;0;0;0;0;0;0;0;0;0;0;;0;0
