"Grab_Beigabennummer";"Grab";"Beigabe";"Anzahl";"Besonderheiten";"Fundlage_Bestattung";"Fundlage_Grab";"Brandspuren";"Graphitierung";"Haarlinienverzierung";"Rollrädchenverzierung";"Ritzlinien";"Stempelverzierung";"Kerbschnittverzierung";"Dellenverzierung";"Kanneluren/Riefen";"Graphitstreifen-/-linienbemalung";"Schwarze Bemalung";"Rote Bemalung";"Weißtonige Keramik";"Rottonige Keramik";"Schlickrauhung";"Kammstrich";"Weißbemalung";"Einstichverzierung";"Buckel";"Bleistiftmalerei"
3048;340;312;1;"kleiner Bronzering";10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3049;341;76;1;;10;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3050;342;151;1;;12;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3051;343;227;1;;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3052;344;227;1;;10;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3053;351;65;1;"angeschmolzene Bronzeteile";10;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3054;353;187;1;"Knochenstäbchen mit Kreisaugenverzierung";12;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3055;357;4;1;"1 Hausschweinzahn";10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3056;364;226;1;;12;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3057;370;18;1;;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3058;373;38;1;"1 Zahn eines Hausschweines";10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3059;374;18;6;;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3066;393;23;1;"Feuerstein";4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3080;431;332;3;;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3089;458;187;1;"Bronzerähmchen";10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3093;461;331;1;;10;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
