"Grab";"Datierung";"UK";"HaC1";"HaC2";"HaD1";"HaD2";"HaD3";"Latène";"Datierungsbegründung"
4;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
45;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;
47;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
59;11;0,00;0,00;0,00;0,00;0,00;0,00;1,00;
63;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;
67;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Stratigraphie (wohl älter als Grab 4)"
71;5;0,00;0,00;0,50;0,50;0,00;0,00;0,00;
72;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Nadel, Stratigraphie"
73;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Nadel"
74;5;0,00;0,00;0,50;0,50;0,00;0,00;0,00;
75;31;0,00;0,00;0,33;0,33;0,16;0,16;0,00;
77;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;
78;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;
79;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;
80;5;0,00;0,00;0,50;0,50;0,00;0,00;0,00;"Schwarzbemalung; chronologische Einordnung ist nicht ganz eindeutig; Datierung nach HaC mit Fragezeichen; in Harris-Matrix aber nach HaD1/D2 geordnet, obwohl stratigraphisch nichts gegen frühere Datierung spricht"
81;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;"Stratigraphie"
82;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
83;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
84;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;
85;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
86;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
87;11;0,00;0,00;0,00;0,00;0,00;0,00;1,00;
88;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
89;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
90;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;"teilweise von Grab 2 überlagert; Keramik"
91;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
92;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;
93;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
94;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;
95;14;0,00;0,00;0,00;0,50;0,50;0,00;0,00;"Stratigrapie, Verzierung"
96;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Verzierung"
97;3;0,00;0,00;1,00;0,00;0,00;0,00;0,00;"s. Trachsel"
98;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Verzierung, Stufenschale"
99;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;
100;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
102;3;0,00;0,00;1,00;0,00;0,00;0,00;0,00;"Stratigraphie, Schwert, Keramik"
105;14;0,00;0,00;0,00;0,50;0,50;0,00;0,00;"Nadel, Fibel"
109;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
112;3;0,00;0,00;1,00;0,00;0,00;0,00;0,00;"s. Trachsel"
114;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Nadel, Keramik"
118;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Halsring, Nadel"
120;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Keramik, Messer"
121;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Stratigraphie"
122;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Fingerring, Gürtelhaken"
123;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
124;31;0,00;0,00;0,33;0,33;0,16;0,16;0,00;"Gesamtdatierung Untereggersberg"
126;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
127;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
128;31;0,00;0,00;0,33;0,33;0,16;0,16;0,00;"Gesamtdatierung Untereggersberg"
129;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;"Wohl älter als 2. Steinkreis"
130;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;"Wohl älter als 2. Steinkreis"
131;3;0,00;0,00;1,00;0,00;0,00;0,00;0,00;"Keramikverzierung"
133;31;0,00;0,00;0,33;0,33;0,16;0,16;0,00;"Gesamtdatierung Untereggersberg"
134;5;0,00;0,00;0,50;0,50;0,00;0,00;0,00;
135;5;0,00;0,00;0,50;0,50;0,00;0,00;0,00;
136;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;"Stratigraphie"
137;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Bandring, Gürtelhaken"
138;5;0,00;0,00;0,50;0,50;0,00;0,00;0,00;
139;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
140;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
141;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
142;5;0,00;0,00;0,50;0,50;0,00;0,00;0,00;
143;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
144;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
145;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
146;31;0,00;0,00;0,33;0,33;0,16;0,16;0,00;"Generelle Datierung Untereggersberg"
147;31;0,00;0,00;0,33;0,33;0,16;0,16;0,00;"Generelle Datierung Untereggersberg"
148;11;0,00;0,00;0,00;0,00;0,00;0,00;1,00;
149;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Nadel, Spiralring"
150;13;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Melonenarmband"
151;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;"Kahnfibel (Keramik vermutlich nicht zugehörig"
154;3;0,00;0,00;1,00;0,00;0,00;0,00;0,00;"Stratigraphie"
155;3;0,00;0,00;1,00;0,00;0,00;0,00;0,00;"Schwarzbemalung"
156;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;
157;3;0,00;0,00;1,00;0,00;0,00;0,00;0,00;"Haarlinienverzierung, Bemalung"
158;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Keramikgesamteindruck, Stratigraphie"
159;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
160;5;0,00;0,00;0,50;0,50;0,00;0,00;0,00;"Rollrädchenverzierung, Keramik"
161;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
162;3;0,00;0,00;1,00;0,00;0,00;0,00;0,00;"Rollrädchenverzierung, Schwarzbemalung"
164;11;0,00;0,00;0,00;0,00;0,00;0,00;1,00;
165;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
166;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
167;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"evtl. auch älter"
168;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"evtl. auch älter"
169;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
170;12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
171;11;0,00;0,00;0,00;0,00;0,00;0,00;1,00;
172;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
173;12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
174;12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
175;10;0,00;0,25;0,25;0,25;0,12;0,12;0,00;
176;3;0,00;0,00;1,00;0,00;0,00;0,00;0,00;"Bemalung, Rollrädchen"
178;10;0,00;0,25;0,25;0,25;0,12;0,12;0,00;
179;5;0,00;0,00;0,50;0,50;0,00;0,00;0,00;"Hohlwulstringe"
180;5;0,00;0,00;0,50;0,50;0,00;0,00;0,00;"Stufenschale, Verzierung"
181;4;0,00;0,50;0,50;0,00;0,00;0,00;0,00;"Keramikspektrum"
182;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Verzierung, Keramikspektrum"
183;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Verzierung, Keramikspektrum"
184;2;0,00;1,00;0,00;0,00;0,00;0,00;0,00;"Knickwandschale, Keramik"
185;4;0,00;0,50;0,50;0,00;0,00;0,00;0,00;"Schwanenhalsnadel"
186;4;0,00;0,50;0,50;0,00;0,00;0,00;0,00;"Bemalung"
187;10;0,00;0,25;0,25;0,25;0,12;0,12;0,00;
188;4;0,00;0,50;0,50;0,00;0,00;0,00;0,00;"Verzierung"
189;5;0,00;0,00;0,50;0,50;0,00;0,00;0,00;"Verzierung"
190;2;0,00;1,00;0,00;0,00;0,00;0,00;0,00;"Knickwandschale"
191;4;0,00;0,50;0,50;0,00;0,00;0,00;0,00;"Bemalung, Keramikspektrum"
192;7;0,00;0,00;0,00;0,00;1,00;0,00;0,00;"trifft wohl auf Körperbestattung zu"
193;3;0,00;0,00;1,00;0,00;0,00;0,00;0,00;"Haarlinien-/Rollrädchenverzierung"
209;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Datierungsgrundlage nach Burmeister: wird von Grab XII überlagert"
210;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
211;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Datierungsgrundlage nach Burmeister: überlagert Grab X, IX und VI"
212;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
213;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
214;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
215;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
216;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
217;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"wird von Grab IX, X und XII überlagert"
218;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Datierungsgrundlage nach Burmeister: Zweischalennadel, großer Br.-Hohlohrring"
219;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Schlangenfibeln S5 mit verdeckter Nadelrast, aber Stratigraphie"
220;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Datierungsgrundlage nach Burmeister: Alb-Hegau Keramik, wird von Grab X und XII überlagert"
221;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
225;9;0,00;0,00;0,00;0,00;0,00;1,00;0,00;"Datierungsgrundlage nach Burmeister: Paukenfibel vom Typ Weidach, Zürn 1970:108"
232;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;"Stratigraphie"
233;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
234;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
244;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Lignitarmringe"
246;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
247;10;0,00;0,25;0,25;0,25;0,12;0,12;0,00;
248;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
249;10;0,00;0,25;0,25;0,25;0,12;0,12;0,00;
258;14;0,00;0,00;0,00;0,50;0,50;0,00;0,00;"Gürtelblech, Armringe"
266;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;"Datierungsgrundlage: Br.-Hohlohrring"
271;7;0,00;0,00;0,00;0,00;1,00;0,00;0,00;
275;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Datierungsgrundlage nach Burmeister: Kahnfibeln, halbmondförmiges Rasiermesser"
276;7;0,00;0,00;0,00;0,00;1,00;0,00;0,00;"Datierungsgrundlage nach Burmeister: kleiner Bronzering mit zapfenartigem Fortsatz, Parzinger Nr. 44, Paukenfibel"
277;9;0,00;0,00;0,00;0,00;0,00;1,00;0,00;"Datierungsgrundlage nach Burmeister: Leibring, aber auch Gagatperlen und Paukenfibeln"
278;12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
279;9;0,00;0,00;0,00;0,00;0,00;1,00;0,00;"Datierungsgrundlage nach Burmeister: FrühLatène-Gürtelhaken, aber auch Gagatperlen und Paukenfibel P1"
281;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;"Vertikalstratigraphie"
282;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;"Vertikalstratigraphie"
283;14;0,00;0,00;0,00;0,50;0,50;0,00;0,00;"Überlegungen zur Gräberreihenfolge"
284;7;0,00;0,00;0,00;0,00;1,00;0,00;0,00;"s. Zürn"
285;7;0,00;0,00;0,00;0,00;1,00;0,00;0,00;"Datierungsgrundlage nach Burmeister: Paukenfibeln, Segelohrringe"
286;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Datierungsgrundlage nach Burmeister: tonnenförmige Bernsteinanhänger, Gürtelblech; Parzinger Stufe SHa II; s. aber Hald 1996, 71"
287;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;"Datierungsgrundlage nach Burmeister: große Br.-Hohlohrringe"
288;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Kahnfibel"
289;11;0,00;0,00;0,00;0,00;0,00;0,00;1,00;"Halsring mit Stempelenden"
290;7;0,00;0,00;0,00;0,00;1,00;0,00;0,00;"Datierungsgrundlage: kleiner Bronzering mit zapfenartigem Fortsatz, Parzinger Nr. 44"
292;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
293;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Datierungsgrundlage nach Burmeister: Br.-Hohlring mit spitzen Enden"
294;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
298;11;0,00;0,00;0,00;0,00;0,00;0,00;1,00;
299;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;"Stratigraphie, möglicherweise auch latènezeitlich"
300;9;0,00;0,00;0,00;0,00;0,00;1,00;0,00;
301;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;"Stratigraphie; möglicherweise auch latènezeitlich"
302;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;"Stratigraphie, möglicherweise auch latènezeitlich"
303;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;"Stratigraphie, evtl. auch latènezeitlich"
304;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;"Stratigraphie, evtl. auch latènezeitlich"
305;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;"Stratigraphie, evtl. auch latènezeitlich"
306;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
317;9;0,00;0,00;0,00;0,00;0,00;1,00;0,00;"Datierungsgrundlage: Fußzierfibel mit breiter Armbrustkonstruktion"
322;3;0,00;0,00;1,00;0,00;0,00;0,00;0,00;"Rädchenverzierung"
340;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
341;10;0,00;0,25;0,25;0,25;0,12;0,12;0,00;
342;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
343;7;0,00;0,00;0,00;0,00;1,00;0,00;0,00;
344;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
345;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Hochhalsgefäß"
346;10;0,00;0,25;0,25;0,25;0,12;0,12;0,00;
347;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
348;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
349;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
350;10;0,00;0,25;0,25;0,25;0,12;0,12;0,00;
351;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Bemalung"
352;10;0,00;0,25;0,25;0,25;0,12;0,12;0,00;
353;10;0,00;0,25;0,25;0,25;0,12;0,12;0,00;
354;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
355;7;0,00;0,00;0,00;0,00;1,00;0,00;0,00;
356;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
357;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
358;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
359;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
360;4;0,00;0,50;0,50;0,00;0,00;0,00;0,00;"Verzierungsart; Datierung nach HaC m. E. gegen Dietrich nicht auszuschließen"
362;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
363;12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
364;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;"Paukenfibel"
365;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
366;10;0,00;0,25;0,25;0,25;0,12;0,12;0,00;
367;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
368;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
369;12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
370;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Halsring"
371;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;"Stratigraphie"
372;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;"Stratigraphie"
373;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;"Stratigraphie"
374;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
375;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Datierungsgrundlage: Bogenfibel"
376;3;0,00;0,00;1,00;0,00;0,00;0,00;0,00;"Keramik, Armring, Perlen"
388;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;
390;12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
392;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Datierungsgrundlage nach Burmeister: 2 Bogenfibeln mit bandförmigem Bügel"
393;6;0,00;0,00;0,00;1,00;0,00;0,00;0,00;"Datierungsgrundlage nach Burmeister: Gürtelblech vom Typ Bitz"
431;9;0,00;0,00;0,00;0,00;0,00;1,00;0,00;"Datierungsgrundlage: Stangengliederkette, schuhförmige Anhänger (s.u.a. Zürn 1970:108), Br.-Rähmchen, Fußzierfibeln mit breiter Armbrustkonstruktion"
449;13;0,00;0,00;0,00;0,50;0,25;0,25;0,00;
458;7;0,00;0,00;0,00;0,00;1,00;0,00;0,00;
459;7;0,00;0,00;0,00;0,00;1,00;0,00;0,00;"Stratigraphie, Sanguisugafibel mit einseitiger Spirale"
461;9;0,00;0,00;0,00;0,00;0,00;1,00;0,00;"Datierungsgrundlage: Fußzierfibeln mit breiter Armbrustkonstruktion"
462;7;0,00;0,00;0,00;0,00;1,00;0,00;0,00;"Datierungsgrundlage nach Burmeister: Dolch Variante Aichach"
463;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;"Stratigraphie"
464;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;"Stratigraphie"
465;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;"Datierungsgrundlage nach Burmeister: Paukenfibel"
466;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;"Getriebene Paukenfibeln neben Doppelpaukenfibeln (gleichzeitig? s. Kurz)"
467;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;"Stratigraphie"
468;9;0,00;0,00;0,00;0,00;0,00;1,00;0,00;"Datierungsgrundlage: Stangengliederkette"
469;9;0,00;0,00;0,00;0,00;0,00;1,00;0,00;"Datierungsgrundlage nach Burmeister: Stangengliederkette, Fußzierfibeln mit breiter Armbrustkonstruktion"
471;7;0,00;0,00;0,00;0,00;1,00;0,00;0,00;"Datierungsgrundlage nach Burmeister: Hgl. 2 nach Hgl. 1 angelegt, aber noch in Ha D2, wie 2 Paukenf. (aus dem Zentralgr.?) und eine S5v aus der Hgl.schüttung nahelegen"
473;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;"nach Kurz Hügel 3 jünger als Hügel 1 und 4"
475;7;0,00;0,00;0,00;0,00;1,00;0,00;0,00;"Datierungsgrundlage nach Burmeister: Grabhügel wurde nach der Zerstörung der Außensiedlung angelegt; Hügel 4 nach Kurz jedoch jünger als Hügel 1"
476;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;"Stratigraphie"
477;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;"Stratigraphie"
478;9;0,00;0,00;0,00;0,00;0,00;1,00;0,00;"Stratigraphie"
479;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;"Stratigraphie"
480;8;0,00;0,00;0,00;0,00;0,50;0,50;0,00;"Stratigraphie"
