"Fundplatz";"Grabkomplexnummer";"Grabkomplexbezeichnung";"Grabkomplexbeschreibung";"Grabkomplexerhaltung";"Hügeleinbauten";"Grabstele";"Hügelerweiterung";"Einfachgrablage"
7;2113;"Hügel 1911";"Hügel, angetrichtert";3;0;0;0;
11;10;"Grab 1";"Annähernd kreisförmige Steinpackung mit zweireihigem Steinkreis; Andeutung einer Hügelschüttung (von F. N. bezweifelt [S. 24]); im NW Überlagerung der beiden Steinkreise durch 'Grab 2'";1;0;0;1;
11;16;"Grab 2";"Unregelmäßige Steinpackung (6 x 6,5 m) , überlagerte Grab 1; keine Hügelschüttung nachgewiesen; im Bereich der Steinpackung Bestattungen, unterhalb keine Bestattungsreste nachgewiesen; vermutlich gestört; latènezeitliche Datierung vor allem aus stratigrap";3;0;0;0;
11;17;"Grab 3";"Kreisförmige Steinpackung mit zwei inneren Steinkreisen + äußerer Steinpflasterung, die F. N. jeweils unterschiedlichen Belegungsphasen zuschreibt; am östlichen Rand der Steinpackung lag Grab 4";1;0;0;1;
11;18;"Grab 12";"Rundliche Steinpackung mit umgebendem Steinkreis; im Norden gelbliche Erdschüttung, die von Steindecke abgeschlossen; kein Nachweis, daß sie gesamten Hügel bedeckte; keine besonderen Funde aus Anbau";2;0;0;1;
11;19;"Grab 13";"Eher rechteckige Steinpackung (6,0 x 5,5 m) mit einfachem Steinkreis; am Außenrand (N + O) deutlich größere Kalksteine als im Inneren; kein Nachweis einer Hügelschüttung; an Westseite Anbau mit kleinstückigem Material; zwischen diesen Steinen MA-Scherben ";2;0;0;1;
11;20;"Grab 15";"Kreisrunde Steinpackung aus vorwiegend plattigen Kalksteinen, die zur Grabmitte deutlich abgesunken waren; im Süden Reste eines Steinkreises";2;0;0;0;
11;21;"Grab 22";"Unregelmäßige Steinpackung (5,5 x 4,0 m) aus auffallend kleinformatigem, zum Zentrum hin größer werdendem Material, durchsetzt mit durchglühten Kalksteinen, im Norden 1m breites Steinpflaster, im Süden Reste von 2 Steinkreisen, teilweise auch aus Platten;";2;0;0;0;
11;22;"Grab 23";"Eher rechteckige Steinpackung (4,5 x 4,5 m); umgebende Steinpflasterung (1,5-2 m breit) bestand aus nach außen gekippter innerer Reihe von Steinplatten + äußerer Begrenzung aus großformatigen Kalksteine; dzwischen mehrere Lagen kleinerer Kalksteine; im Sü";3;0;0;0;
11;23;"Grab 24";"Rundliche Steinpackung (8,5 x 9,0 m) aus unregelmäßigem Steinmaterial; umgebender Steinkreis aus großen unregelmäßigen Kalksteinen + plattigem Material; im NO Lücken; Kammergrenzen durch wohl ehemals senkrechte, zum Zentrum hin verkippte Platten zu erkenn";2;0;0;0;
11;24;"Grab 26";"Annähernd rechteckige Steinpackung (8 x 7,5 m) mit Steinkreis aus auffallend großen Steinen; aufrechten Kalkplatten zeigen Außenneigung, doch keine Hügelschüttung nachgewiesen; Steinpackung zum Zentrum hin aus kleineren Steinen; über Kammer 4-5 Steinlagen";1;0;0;0;
11;25;"Grab 27";"annähernd rechteckige Steinpackung (4,0 x 5,0 m) mit einfachem Steinkreis + evtl. nachgewiesener Hügelschüttung; an der Südseite Erweiterung; Störung insbesondere an Ost-, aber auch an Westseite (Fehlen von Steinen); Einfluß von Störung auf Bestattung nic";2;0;0;1;
11;26;"Grab 28";"Rundliche Steinpackung (4,8 x 5,0 m) mit 2 Steinkreisen; davon innerer höher gelegen; äußerer Steinkreis aus Geröll und teilweise aufrecht- bzw. schräggestellten Platten gebildet; evtl. Hügelschüttung nachgewiesen; Steinpackung aus dicht gepacktem Geröll;";1;0;0;0;
11;27;"Grab 29";"Annähernd rechteckige Steinpackung mit umgebendem Steinkreis, Kreisgraben + möglicherweise Erdhügel; Steinkreis innen aus kleinen Steinen, Außenrand wurde von mächtigen, teilweise liegenden, teilweise stehenden bzw. nach außen geneigten Steinplatten gebil";2;0;0;0;
11;28;"Grab 30";"Ovale Steinpackung mit einfachem Steinkreis (9,5 x 6,5 m); Steinkreis zwar mit Außenneigung, aber keine Hügelschüttung nachgewiesen; keine Störung nachgewiesen, auch wenn einige Funde in der Steinpackung auftauchten";2;0;0;0;
11;29;"Grab 31";"Eher rechteckige Steinpackung (6,5 x 5-7 m) mit einfachem Steinkreis; kein Nachweis einer Hügelschüttung; Störungsbereich im Nordosten setzte sich nicht bis auf Bestattungshorizont fort; hier Keramikfunde verschiedener Epochen; Steindecke im Bereich der G";2;0;0;0;
11;30;"Grab 32";"Rundlich-ovale Steinpackung (8-9 m) mit doppeltem Steinkreis; keine Hügelschüttung nachgewiesen; Steinpackungsrand durch plattige Steine deutlich gekennzeichnet";1;0;0;0;
11;31;"Grab 33";"Annähernd rechteckige Steinpackung (6 x 7 m) mit unregelmäßigem Steinkreis; Hügelschüttung nicht nachgewiesen; Steinkreis aufgebaut aus innerer Begrenzung durch kleine Kalkplatten + zweiter Reihe von Kalksteinen dahinter, dazwischen Kalkgerölle; einige St";2;0;0;0;
11;32;"Grab 35";"Annähernd rechteckige Steinpackung (6 x 7,5 m) mit einfachem Steinkreis aus Geröll; einige aufrecht stehende Steine schräg nach außen geneigt, Hügelschüttung jedoch nicht nachgewiesen; Steinpackung bestand aus Geröll + plattigen Steinen; über eingesunkene";1;0;0;0;
11;33;"Grab 36";"Unregelmäßig geformte Steinpackung (7 x 5 m), teilweise durch mittelalterlich-neuzeitliche Mauer gestört; uneinheitlicher Steinkreis aus Geröll; Kammergrenzen waren nicht zu erkennen; im Südbereich tiefschwarze Verfärbung mit Holzkohle, aber ohne Leichenb";3;0;0;0;
11;34;"Grab 37";"Steinpackung mit einfachem Steinkreis, genaue Abgrenzung unklar [Maße von Plan geschätzt]; Hügelschüttung nicht nachgewiesen";3;0;0;0;
11;35;"Grab 38";"Unregelmäßig geformte Steinpackung mit Steinkreis; im NO Teile eines zweiten Steinkreises; Hügelschüttung nicht nachgewiesen; einige Funde in Steinpackung";2;0;0;0;
11;36;"Grab 46";"Annähernd rechteckige Steinpackung (l5,5 x 6,0 m) mit einfachem Steinkreis mit im Süden nach außen geneigten Steinplatten; evtl. Hügelschüttung; einige Scherben + Eisenfragmente aus Steinpackung";1;0;0;0;
11;37;"Grab 51";"Rechteckige Steinpackung (3 x 2,5 m) mit 2 Steinkreisen; innerer Steinkreis aus einreihig gesetzten Kalksteinplatten, äußerer aus breiterem Band aus kleineren Kalkgeröllen; evtl. Hügelschüttung; im Osten Reste von 3 Individuen auf bzw. in Steinpackung; da";3;0;0;0;
11;38;"Grab 52";"Rundliche Steinpackung mit einfachem Steinkreis aus Kalkgeröll, einige aufrecht stehende Steine mit Neigung nach außen, aber keine Hügelschüttung nachgewiesen; Steinpackung am Rand aus großen Blöcken, direkt über Grabkammer aus kleineren; in Steinabdeckun";2;0;0;0;
11;39;"Grab 53";"Unregelmäßige, eher rundliche Steinpackung mit teilweise nur einem, im N aber mit 2 Steinkreisen; 40-50 cm hoch erhalten; zahlreiche Scherben bereits bei Abdeckung der Steinpackung gefunden; zwischen Steinen der letzten Lage Verfüllmaterial schwarz gefärb";2;0;0;0;
11;40;"Grab 54";"Unregelmäßige Steinpackung (6,5 x 7 m) mit 2 Steinkreisen; äußerer Steinkreis nur im N + S; im N evtl. verkipptes Trockenmauerwerk; im N zwischen Steinkreis + Steinpackung Körpergrab (Grab 58); Hügelschüttung nicht nachgewiesen";1;0;0;0;
11;41;"Grab 55";"Flache trapezfömrige Steinpackung (5,5 x 3,5 bzw. 4,5 m) mit einfachem Steinkreis; Hügelschüttung nicht nachgewiesen";2;0;0;0;
