"Literaturnummer";"Grabkomplexnummer";"Seitenzahl";"Katalognummer";"Abbildung"
504;2965;"109f.";"Hügel 1";
508;3024;;;
660;2474;"184";"Hügel 1";
660;2702;"170f.";"Hügel 14";
660;2703;"171";"Hügel 15";
660;2791;"169";"Hügel 10";
660;2794;"175f.";"Hüge 7";"Abb. 30a"
660;2795;"176";"Hügel 8";
660;2796;"185";"Hügel 1";
660;2797;"233";"Hügel 8";
660;2798;"233f.";"Hügel 15";
660;3012;"213";"Hügel 1";
763;1918;"234";"2, Hügel 1";
763;1919;"234";"2, Hügel 2";
763;1920;"234f.";"2, Hügel 3";
763;1921;"235";"4";"Taf. 180,1"
763;1922;"235f.";"5";
763;1926;"239";"19 Hügel 2";
763;1927;"241";"26 Hügel 1";
763;1928;"241";"26 Hügel 2";
763;1929;"253";"52 A";
763;1930;"254f.";"52 G, Grab 1";
763;1931;"255";"52 G, Grab 2";
763;1939;"260f.";"62";
763;1940;"265";"75 A";
763;1941;"268";"81";
763;1972;"278";"95, Hügel 1";
763;1979;"289";"121";
763;1980;"294f.";"125, Hügel 1";
763;1981;"295";"125, Hügel 2";
763;1982;"295";"125, Hügel 3";
763;1983;"296";"126, Hügel 3";
763;1984;"297";"129a, Hügel 1";
763;1985;"297ff.";"129a, Hüge 3";
763;1986;"318";"171, Hügel 2";
763;1987;"318";"171, Hügel 3";
763;2002;"321";"175";
763;2007;"338";"216 B";
763;2008;"325";"232 B";
763;2009;"352f.";"259, Hügel 1";
763;2010;"353";"259, Hügel 2";
763;2015;"362";"269 B, Hügel 2";
763;2016;"362";"269 B, Hügel 3";
763;2017;"364";"277";
763;2018;"366";"280 B, Hügel 1 (A)";
763;2019;"366";"280 B, Hügel 2 (B)";
763;2020;"367f.";"280 H";
763;2021;"379";"293 A, Hügel 2";
763;2024;"389";"303 B";
763;2026;"392";"310";
763;2165;"276f.";"90 B";"Taf. 181,12"
763;2640;"243ff.";"44 B";"Abb. 7"
763;2641;"247ff.";"44 C";"Abb. 10"
