"Bestattungsnummer";"Körperbestattungslage";"Arm_links";"Armwinkel_links";"Arm_rechts";"Armwinkel_rechts";"Beinhaltung";"Sonstige_Auffälligkeiten"
4;5;0;;0;;0;0
5;1;0;;0;;0;0
6;5;0;;0;;0;0
8;5;0;;0;;0;0
9;5;0;;0;;0;0
10;5;0;;0;;0;0
11;1;0;;0;;0;1
12;1;0;;0;;0;0
19;1;0;;0;;0;0
23;5;0;;0;;0;0
24;5;0;;0;;0;0
25;5;0;;0;;0;0
26;1;0;;0;;0;0
27;5;0;;0;;0;0
29;1;0;;0;;0;0
32;5;0;;0;;0;0
37;5;0;;0;;0;0
38;1;0;;0;;0;0
40;1;0;;0;;0;0
41;1;0;;0;;0;0
42;1;0;;0;;0;0
43;5;0;;0;;0;0
44;1;0;;0;;0;0
45;5;0;;0;;0;0
46;5;0;;0;;0;0
47;5;0;;0;;0;0
49;1;0;;0;;0;1
50;5;0;;0;;0;0
51;1;0;;0;;0;0
52;1;1;2;0;4;0;0
53;1;0;;0;;0;0
54;1;1;3;1;3;1;0
55;1;0;;0;;0;0
56;1;0;;0;;0;0
57;5;0;;0;;0;0
58;5;0;;0;;0;0
61;1;0;;0;;0;0
62;1;0;;0;;0;0
63;5;0;;0;;0;0
64;5;0;;0;;0;0
66;1;0;;0;;0;0
67;1;0;;0;;0;0
75;1;0;;0;;0;1
79;5;0;;0;;0;0
80;5;0;;0;;0;0
81;5;0;;0;;0;0
82;1;0;;0;;0;0
83;5;0;;0;;0;0
88;1;0;;0;;0;0
90;5;0;;0;;0;0
91;1;1;3;1;3;0;0
92;5;0;;0;;0;0
93;5;0;;0;;0;0
98;5;0;;0;;0;0
99;5;0;;0;;0;0
100;1;0;;0;;0;0
102;1;0;;0;;0;0
103;5;0;;0;;0;0
104;1;0;;0;;0;0
108;5;0;;0;;0;0
109;1;0;;0;;0;1
110;5;0;;0;;0;0
113;1;0;;0;;1;0
115;5;0;;0;;0;0
118;5;0;;0;;0;0
119;5;0;;0;;0;0
127;5;0;;0;;0;0
128;5;0;;0;;0;0
131;5;0;;0;;0;0
132;1;0;;0;;1;0
158;5;0;;0;;0;0
170;5;0;;0;;0;0
171;5;0;;0;;0;0
172;5;0;;0;;0;0
173;5;0;;0;;0;0
174;5;0;;0;;0;0
175;5;0;;0;;0;0
176;5;0;;0;;0;0
177;5;0;;0;;0;0
179;5;0;;0;;0;0
180;5;0;;0;;0;0
181;5;0;;0;;0;0
182;5;0;;0;;0;0
183;5;0;;0;;0;0
188;5;0;;0;;0;0
209;5;0;;0;;0;0
211;5;0;;0;;0;0
223;5;0;;0;;0;0
231;5;0;;0;;0;0
236;5;0;;0;;0;0
240;5;0;;0;;0;0
241;5;0;;0;;0;0
242;1;1;3;0;4;0;0
243;5;0;;0;;0;0
244;5;0;;0;;0;0
247;5;0;;0;;0;0
248;5;0;;0;;0;0
249;5;0;;0;;0;0
251;1;0;;0;;0;0
252;2;0;;0;;0;0
253;1;0;;0;;0;0
254;5;0;;0;;0;0
255;1;0;;0;;0;0
257;5;0;;0;;0;0
259;5;0;;0;;0;0
260;5;0;;0;;0;0
261;5;0;;0;;0;0
267;1;0;;0;;0;0
268;1;0;;0;;0;0
269;1;1;2;0;;0;0
270;1;0;;0;;0;0
271;1;0;;0;;0;0
272;1;0;;0;;0;0
273;1;0;;0;;0;0
274;5;0;;0;;0;0
275;1;0;;0;;0;0
288;5;0;;0;;0;0
293;5;0;;0;;0;0
