"Lokalitätsnummer";"Gemeinde";"Landkreis";"Bundesland"
11;3;3;3
17;5;3;3
18;6;4;4
19;7;5;4
20;8;6;4
22;10;8;3
23;11;9;4
24;12;10;3
25;13;11;4
26;14;12;4
27;16;14;4
32;19;17;4
33;20;18;4
36;23;21;4
38;25;14;4
41;27;24;3
42;28;25;3
43;29;14;4
44;30;26;4
45;31;27;4
46;32;28;4
48;33;26;4
49;34;14;4
50;35;29;3
51;36;30;4
54;39;5;4
55;40;9;4
60;45;12;4
63;48;5;4
64;49;12;4
67;52;12;4
68;53;21;4
70;54;35;3
72;57;21;4
75;57;25;3
76;60;9;4
77;61;12;4
78;62;12;4
80;64;24;3
81;65;36;4
90;74;40;4
94;78;28;4
95;79;26;4
96;80;42;4
97;81;27;4
99;83;42;4
100;84;44;4
102;86;35;3
104;88;4;4
105;89;71;4
106;90;46;3
107;91;47;3
636;151;5;4
637;179;5;4
638;115;6;4
639;131;6;4
640;146;6;4
641;148;6;4
642;157;6;4
643;207;6;4
644;209;6;4
645;235;6;4
646;236;6;4
647;106;9;4
648;107;9;4
649;111;9;4
650;238;9;4
651;285;9;4
652;203;11;4
653;110;12;4
654;113;12;4
655;122;12;4
656;142;12;4
657;149;12;4
658;198;12;4
659;206;12;4
660;280;12;4
661;116;14;4
662;166;14;4
663;200;14;4
664;232;14;4
665;112;17;4
666;140;17;4
667;144;17;4
668;153;17;4
669;169;17;4
670;248;17;4
671;119;21;4
672;120;21;4
673;127;21;4
674;136;21;4
675;173;21;4
676;196;21;4
677;201;21;4
678;210;21;4
679;228;21;4
680;231;21;4
681;267;21;4
682;268;21;4
683;130;26;4
684;135;26;4
685;171;26;4
686;220;26;4
687;108;36;4
688;114;36;4
689;155;36;4
690;158;36;4
691;162;36;4
692;177;36;4
693;178;36;4
694;212;36;4
695;230;36;4
696;263;36;4
697;139;40;4
698;145;40;4
699;180;40;4
700;202;40;4
701;253;40;4
702;175;42;4
703;167;52;4
704;118;53;4
705;123;53;4
706;195;53;4
707;245;53;4
708;284;53;4
709;125;54;4
710;129;54;4
711;141;54;4
712;227;56;4
713;260;56;4
714;282;56;4
715;215;57;4
716;126;58;4
717;143;58;4
718;163;58;4
719;1514;58;4
720;124;64;4
721;192;64;4
722;150;65;4
723;152;65;4
724;168;65;4
725;172;65;4
726;176;65;4
727;204;65;4
728;214;65;4
729;223;65;4
730;240;65;4
731;255;65;4
732;264;65;4
733;265;65;4
734;286;65;4
735;109;66;4
736;154;66;4
737;165;66;4
738;199;66;4
739;117;68;4
740;128;68;4
741;134;68;4
742;156;68;4
743;159;68;4
744;160;68;4
745;174;68;4
746;221;68;4
747;229;68;4
748;237;68;4
749;249;68;4
750;252;68;4
751;283;68;4
752;164;69;4
753;67;71;4
754;87;71;4
755;121;71;4
756;132;71;4
757;133;71;4
758;137;71;4
759;138;71;4
760;147;71;4
761;161;71;4
762;170;71;4
764;287;72;3
765;288;73;3
766;289;74;3
767;290;72;3
768;292;75;3
769;293;74;3
770;294;72;3
771;295;74;3
772;296;74;3
773;297;74;3
775;298;74;3
776;299;72;3
777;300;73;3
778;301;74;3
779;302;72;3
781;303;72;3
782;304;75;3
783;305;73;3
784;306;74;3
785;307;74;3
786;308;74;3
787;309;77;3
789;310;78;3
790;311;75;3
792;312;72;3
793;313;75;3
794;314;73;3
795;315;74;3
796;316;72;3
798;317;74;3
799;318;79;3
800;319;78;3
801;320;72;3
802;321;72;3
803;322;72;3
804;323;72;3
805;324;72;3
806;325;72;3
807;326;72;3
808;327;73;3
809;328;73;3
810;329;73;3
811;330;73;3
812;331;73;3
813;332;73;3
814;333;73;3
815;334;73;3
816;335;73;3
817;336;73;3
818;337;78;3
819;338;78;3
820;339;78;3
821;340;78;3
822;341;74;3
823;342;74;3
824;343;74;3
825;344;74;3
826;345;74;3
827;346;74;3
828;347;74;3
829;348;77;3
830;349;47;3
831;350;47;3
832;351;47;3
833;352;47;3
834;353;47;3
835;354;75;3
836;355;75;3
837;356;75;3
838;357;75;3
974;359;80;3
975;396;80;3
976;402;80;3
977;410;80;3
978;412;80;3
979;414;80;3
980;421;80;3
981;430;80;3
982;361;81;3
983;372;82;3
984;389;82;3
985;423;82;3
986;425;82;3
987;443;82;3
988;380;83;3
989;404;83;3
990;437;83;3
991;440;83;3
992;442;83;3
993;449;83;3
994;480;83;3
995;369;84;3
996;371;84;3
997;376;84;3
998;389;84;3
999;401;84;3
1000;411;84;3
1001;418;84;3
1002;420;84;3
1003;431;84;3
1004;432;84;3
1005;434;84;3
1006;435;84;3
1007;436;84;3
1008;452;84;3
1009;462;84;3
1010;465;84;3
1011;466;84;3
1012;478;84;3
1013;374;85;3
1014;381;85;3
1015;382;85;3
1016;383;85;3
1017;389;85;3
1018;419;85;3
1019;422;85;3
1020;439;85;3
1021;444;85;3
1022;457;85;3
1023;472;85;3
1024;485;85;3
1025;360;86;3
1026;370;86;3
1027;385;86;3
1028;392;86;3
1029;413;86;3
1030;415;86;3
1031;428;86;3
1032;470;86;3
1033;475;86;3
1034;489;86;3
1035;363;87;3
1036;364;87;3
1037;365;87;3
1038;366;87;3
1039;373;87;3
1040;399;87;3
1041;400;87;3
1042;407;87;3
1043;408;87;3
1044;409;87;3
1045;438;87;3
1046;447;87;3
1047;450;87;3
1048;460;87;3
1049;468;87;3
1050;471;87;3
1051;473;87;3
1052;484;87;3
1053;486;87;3
1054;358;88;3
1055;367;88;3
1056;377;88;3
1057;378;88;3
1058;386;88;3
1059;391;88;3
1060;393;88;3
1061;395;88;3
1062;397;88;3
1063;398;88;3
1064;424;88;3
1065;429;88;3
1066;446;88;3
1067;451;88;3
1068;458;88;3
1069;461;88;3
1070;463;88;3
1071;469;88;3
1072;474;88;3
1073;479;88;3
1074;481;88;3
1075;482;88;3
1076;464;89;3
1077;2;90;3
1078;362;90;3
1079;368;90;3
1080;375;90;3
1081;379;90;3
1082;384;90;3
1083;387;90;3
1084;388;90;3
1085;389;90;3
1086;390;90;3
1087;394;90;3
1088;403;90;3
1089;405;90;3
1090;406;90;3
1091;416;90;3
1092;417;90;3
1093;426;90;3
1094;427;90;3
1095;433;90;3
1096;441;90;3
1097;445;90;3
1098;448;90;3
1099;453;90;3
1100;454;90;3
1101;455;90;3
1102;456;90;3
1103;459;90;3
1104;467;90;3
1105;476;90;3
1106;477;90;3
1107;483;90;3
1108;488;90;3
1111;519;3;3
1112;536;3;3
1113;563;3;3
1114;566;3;3
1115;569;3;3
1116;576;3;3
1118;495;10;3
1119;507;10;3
1120;511;10;3
1121;513;10;3
1122;515;10;3
1123;517;10;3
1124;518;10;3
1125;389;10;3
1126;526;10;3
1127;527;10;3
1128;533;10;3
1129;547;10;3
1130;550;10;3
1131;551;10;3
1132;552;10;3
1133;558;10;3
1134;564;10;3
1135;574;10;3
1136;581;10;3
1137;584;10;3
1139;514;24;3
1140;520;24;3
1141;389;24;3
1142;523;24;3
1143;531;24;3
1144;537;24;3
1145;538;24;3
1146;541;24;3
1147;557;24;3
1148;559;24;3
1149;570;24;3
1150;572;24;3
1151;575;24;3
1152;582;24;3
1155;492;25;3
1156;501;25;3
1157;505;25;3
1158;509;25;3
1159;389;25;3
1160;524;25;3
1161;528;25;3
1162;529;25;3
1163;543;25;3
1164;546;25;3
1165;573;25;3
1166;587;25;3
1168;506;29;3
1169;510;29;3
1170;516;29;3
1171;542;29;3
1172;549;29;3
1173;556;29;3
1174;565;29;3
1175;577;29;3
1176;578;29;3
1177;585;29;3
1178;586;29;3
1181;508;35;3
1182;512;35;3
1183;389;35;3
1184;525;35;3
1185;532;35;3
1186;534;35;3
