Name,Dateiname,Layer,Position X,Position Y,Position Z
HK,OS5P3102.DWG,FEUER,342.59,-1866.32,0.00
HK,OS5P3102.DWG,FEUER,337.65,-1865.65,0.00
HK,OS5P3102.DWG,FEUER,346.67,-1864.75,0.00
HK,OS5P3102.DWG,FEUER,348.26,-1857.11,0.00
HK,OS5P3102.DWG,FEUER,348.97,-1860.77,0.00
HK,OS5P3102.DWG,FEUER,351.59,-1874.43,0.00
HK,OS5P3102.DWG,FEUER,353.32,-1877.59,0.00
HK,OS5P3102.DWG,FEUER,347.93,-1873.00,0.00
HK,OS5P3102.DWG,FEUER,338.92,-1868.96,0.00
HK,OS5P3102.DWG,FEUER,345.08,-1869.63,0.00
HK,OS5P3102.DWG,FEUER,343.06,-1855.72,0.00
HK,OS5P3102.DWG,FEUER,379.57,-1797.45,0.00
HK,OS5P3102.DWG,FEUER,344.20,-1847.93,0.00
HK,OS5P3102.DWG,FEUER,382.01,-1799.34,0.00
HK,OS5P3102.DWG,FEUER,377.57,-1804.47,0.00
HK,OS5P3102.DWG,FEUER,374.82,-1805.08,0.00
HK,OS5P3102.DWG,FEUER,348.98,-1853.03,0.00
HK,OS5P3102.DWG,FEUER,346.48,-1854.15,0.00
HK,OS5P3102.DWG,FEUER,345.16,-1851.50,0.00
HK,OS5P3102.DWG,FEUER,347.20,-1848.34,0.00
HK,OS5P3102.DWG,FEUER,349.54,-1850.33,0.00
HK,OS5P3102.DWG,FEUER,356.38,-1876.32,0.00
HK,OS5P3102.DWG,FEUER,376.60,-1911.76,0.00
HK,OS5P3102.DWG,FEUER,383.66,-1931.63,0.00
HK,OS5P3102.DWG,FEUER,383.02,-1911.10,0.00
HK,OS5P3102.DWG,FEUER,386.70,-1906.52,0.00
HK,OS5P3102.DWG,FEUER,388.52,-1914.02,0.00
HK,OS5P3102.DWG,FEUER,373.93,-1932.13,0.00
HK,OS5P3102.DWG,FEUER,371.10,-1948.12,0.00
HK,OS5P3102.DWG,FEUER,376.57,-1934.88,0.00
HK,OS5P3102.DWG,FEUER,380.04,-1931.12,0.00
HK,OS5P3102.DWG,FEUER,379.11,-1939.58,0.00
HK,OS5P3102.DWG,FEUER,381.96,-1904.02,0.00
HK,OS5P3102.DWG,FEUER,359.98,-1885.24,0.00
HK,OS5P3102.DWG,FEUER,363.81,-1885.04,0.00
HK,OS5P3102.DWG,FEUER,361.72,-1881.68,0.00
HK,OS5P3102.DWG,FEUER,355.51,-1880.35,0.00
HK,OS5P3102.DWG,FEUER,357.59,-1882.90,0.00
HK,OS5P3102.DWG,FEUER,380.14,-1898.36,0.00
HK,OS5P3102.DWG,FEUER,383.65,-1899.03,0.00
HK,OS5P3102.DWG,FEUER,374.40,-1889.44,0.00
HK,OS5P3102.DWG,FEUER,365.18,-1888.87,0.00
HK,OS5P3102.DWG,FEUER,369.91,-1888.06,0.00
HK,OS5P3102.DWG,FEUER,349.41,-1800.05,0.00
HK,OS5P3102.DWG,FEUER,353.95,-1799.19,0.00
HK,OS5P3102.DWG,FEUER,344.47,-1800.55,0.00
HK,OS5P3102.DWG,FEUER,341.47,-1796.63,0.00
HK,OS5P3102.DWG,FEUER,339.59,-1790.92,0.00
HK,OS5P3102.DWG,FEUER,349.91,-1804.03,0.00
HK,OS5P3102.DWG,FEUER,364.59,-1800.84,0.00
HK,OS5P3102.DWG,FEUER,343.70,-1805.55,0.00
HK,OS5P3102.DWG,FEUER,352.16,-1802.86,0.00
HK,OS5P3102.DWG,FEUER,346.55,-1802.19,0.00
HK,OS5P3102.DWG,FEUER,349.93,-1795.37,0.00
HK,OS5P3102.DWG,FEUER,348.37,-1780.69,0.00
HK,OS5P3102.DWG,FEUER,351.83,-1779.12,0.00
HK,OS5P3102.DWG,FEUER,354.49,-1776.98,0.00
HK,OS3P6123.DWG,FEUER,230.02,-1768.08,0.00
HK,OS5P3102.DWG,FEUER,349.60,-1776.92,0.00
HK,OS5P3102.DWG,FEUER,352.17,-1792.26,0.00
HK,OS5P3102.DWG,FEUER,353.29,-1796.19,0.00
HK,OS5P3102.DWG,FEUER,349.48,-1788.39,0.00
HK,OS5P3102.DWG,FEUER,356.42,-1779.89,0.00
HK,OS5P3102.DWG,FEUER,347.34,-1784.41,0.00
HK,OS5P3102.DWG,FEUER,360.52,-1799.56,0.00
HK,OS5P3102.DWG,FEUER,373.36,-1795.40,0.00
HK,OS5P3102.DWG,FEUER,388.62,-1808.01,0.00
HK,OS5P3102.DWG,FEUER,375.76,-1794.49,0.00
HK,OS5P3102.DWG,FEUER,377.13,-1791.84,0.00
HK,OS5P3102.DWG,FEUER,378.20,-1793.73,0.00
HK,OS5P3102.DWG,FEUER,378.43,-1809.62,0.00
HK,OS5P3102.DWG,FEUER,379.10,-1806.97,0.00
HK,OS5P3102.DWG,FEUER,386.58,-1812.33,0.00
HK,OS5P3102.DWG,FEUER,388.62,-1811.01,0.00
HK,OS5P3102.DWG,FEUER,388.41,-1813.96,0.00
HK,OS5P3102.DWG,FEUER,368.73,-1790.10,0.00
HK,OS5P3102.DWG,FEUER,359.15,-1790.64,0.00
HK,OS5P3102.DWG,FEUER,356.15,-1790.99,0.00
HK,OS5P3102.DWG,FEUER,363.13,-1790.85,0.00
HK,OS5P3102.DWG,FEUER,363.83,-1796.56,0.00
HK,OS5P3102.DWG,FEUER,365.57,-1792.64,0.00
HK,OS5P3102.DWG,FEUER,374.80,-1787.51,0.00
HK,OS5P3102.DWG,FEUER,371.79,-1790.86,0.00
HK,OS5P3102.DWG,FEUER,364.00,-1786.73,0.00
HK,OS5P3102.DWG,FEUER,361.50,-1788.35,0.00
HK,OS5P3102.DWG,FEUER,360.74,-1785.86,0.00
HK,OS5P3102.DWG,FEUER,378.39,-1947.83,0.00
HK,OS5P4103.DWG,FEUER,399.62,-1768.44,0.00
HK,OS5P4103.DWG,FEUER,401.79,-1706.18,0.00
HK,OS5P4103.DWG,FEUER,404.01,-1772.23,0.00
HK,OS5P4103.DWG,FEUER,415.11,-1788.15,0.00
HK,OS5P4103.DWG,FEUER,422.04,-1827.49,0.00
HK,OS5P4103.DWG,FEUER,408.47,-1697.05,0.00
