"","varnames_orig","varnames_clean","varnames_info"
"1","INVEST","invest","Investigator"
"2","PERIOD","period","Period, temporal"
"3","SUBPERIOD","subperiod","Subperiod, e.g. prehistoric periods"
"4","PERIODNO","periodno","Period number"
"5","DATE RANGE","date_range","Original dates, e.g. AD/BC, BP uncalibrated/calibrated"
"6","YEARS BP","years_bp","Mean age in years BP of `Date range`. BP = 2000AD for recent period"
"7","REGION","region","Region"
"8","SUBREGION","subregion","Subregion"
"9","REGIONNO","regionno","Region number"
"10","CULTURE","culture","Information on archaeological associations, ethnicity, or other lifestyle attributes, as appropriate"
"11","SITE","site","Site name"
"12","SPECIMEN No.","specimen_no","Specimen number in the local context"
"13","MUSEUM","museum","Collection providor"
"14","LATITUDE","latitude","Latitude"
"15","LONGITUDE","longitude","Longitude"
"16","AV. SLOPE","av_slope","Average slopes within a 10 km radius of each site"
"17","MAX. SLOPE","max_slope","Maximum slopes within a 10 km radius of each site"
"18","TERR. CODE","terr_code","codes of 1: flat, 2: hilly, 3: mountainous"
"19","RURAL/URBAN","rural_urban","codes of 1: rural and 2: urban"
"20","SEX","sex","codes of 1: male, 2: female"
"21","AGE RANGE","age_range","Specific ages for known-age for Very recent or Early modern individuals,  ranges for others"
"22","AGE MEAN","age_mean","means of ranges or 38 (mean of pooled sample) for unknown."
"23","BILIAC","biliac","Bi-iliac breadth, does not include any soft tissue correction"
"24","SACRAL ML1","sacral_ml1","M-L breadth described by Tague (1989), ), measured between the most anterior points of the auricular surfaces"
"25","SACRAL ML2","sacral_ml2","ML2 is maximum M-L breadth of the entire sacrum"
"26","Rt.CLAV. MAXLN","rt_clav_maxln",""
"27","Lt.CLAV. MAXLN.","lt_clav_maxln",""
"28","PRESACRAL HT.","presacral_ht","Sum of vertebral body heights (maximum anterior to the pedicles) of L5 through C2"
"29","S1HT","s1ht","Anterior height of S1 sacral segment"
"30","BAS-BREG HT.","bas_breg_ht","Basion-bregma height"
"31","TAL-CAL. HT.","tal_cal_ht","Talar+calcaneal height"
"32","SKELHT_MM","skelht_mm","Sum of TAL-CAL HT., FBICLN, TFULLN, S1HT, PRESACRAL HT. and BAS-BREG HT"
"33","PSKELHT_MM","pskelht_mm","Anatomical stature calculated with all dimensions except basion-bregma height"
"34","ANATSTAT","anatstat","Calculate anatomical (living) stature"
"35","STATURE","stature","Calculated from full skeletal height, where available (n = 537), for others calculated from long bone lengths using formulae derived from this sample (Ruff et al., 2012)"
"36","BODY MASS","body_mass","kg, calculated from stature and bi-iliac breadth (when both dimensions were available) or femoral head S-I breadth"
"37","FSIDE","fside","Femur, code of 1: right, 2: left"
"38","FMAXLN","fmaxln","Femur maximum length (Fem1)"
"39","FBICLN","fbicln","Femur bicondylar length (Fem2)"
"40","FBIOLN","fbioln","Femur biomechanical length, used to locate cross sections"
"41","FHDSI","fhdsi","femoral head S-I breadth"
"42","FDML","fdml","femoral distal articular M-L breadth"
"43","F50AP","f50ap","Femur shaft breadths at the given locations (50% or 35% of biomechanical length from the distal endpoint of that length)"
"44","F50ML","f50ml","Femur shaft breadths at the given locations (50% or 35% of biomechanical length from the distal endpoint of that length)"
"45","TSIDE","tside","Tibia, code of 1: right, 2: left"
"46","TMAXLN","tmaxln","Tibia maximum length (including tibial spines)(Tib1a)"
"47","TFULLN","tfulln","Tibia  length used in anatomical stature calculation"
"48","TBION","tbion","Tibia  biomechanical length, used to locate cross sections (L missing?)"
"49","TPLML","tplml","tibial plateau M-L breadth"
"50","T50AP","t50ap","Tibia shaft breadths at the given locations (50% or 35% of biomechanical length from the distal endpoint of that length)"
"51","T50ML","t50ml","Tibia shaft breadths at the given locations (50% or 35% of biomechanical length from the distal endpoint of that length)"
"52","HRMAXLN","hrmaxln","Humerus, right, maximum length (Hum1)"
"53","HRBIOLN","hrbioln","Humerus, right, bicondylar length"
"54","HRHDSI","hrhdsi","Humerus, right,  head S-I breadth"
"55","HRDML","hrdml","Humerus, right, distal articular M-L breadth"
"56","HR35AP","hr35ap","Humerus, right, shaft breadths at the given locations (50% or 35% of biomechanical length from the distal endpoint of that length)"
"57","HR35ML","hr35ml","Humerus, right, shaft breadths at the given locations (50% or 35% of biomechanical length from the distal endpoint of that length)"
"58","HR50AP","hr50ap","Humerus, right, shaft breadths at the given locations (50% or 35% of biomechanical length from the distal endpoint of that length)"
"59","HR50ML","hr50ml","Humerus, right, shaft breadths at the given locations (50% or 35% of biomechanical length from the distal endpoint of that length)"
"60","HLMAXLN","hlmaxln","Humerus, left, maximum length (Hum1)"
"61","HLBIOLN","hlbioln","Humerus, left, bicondylar length"
"62","HLHDSI","hlhdsi","Humerus, left,  head S-I breadth"
"63","HLDML","hldml","Humerus, left, distal articular M-L breadth"
"64","HL35AP","hl35ap","Humerus, left, shaft breadths at the given locations (50% or 35% of biomechanical length from the distal endpoint of that length)"
"65","HL35ML","hl35ml","Humerus, left, shaft breadths at the given locations (50% or 35% of biomechanical length from the distal endpoint of that length)"
"66","HL50AP","hl50ap","Humerus, left, shaft breadths at the given locations (50% or 35% of biomechanical length from the distal endpoint of that length)"
"67","HL50ML","hl50ml","Humerus, left, shaft breadths at the given locations (50% or 35% of biomechanical length from the distal endpoint of that length)"
"68","RRMAXLN","rrmaxln","Radius, right, maximum length (R1b)"
"69","RRBIOLN","rrbioln","Radius, right, bicondylar length"
"70","RLMAXLN","rlmaxln","Radius, left, maximum length"
"71","RLBIOLN","rlbioln","Radius, left, bicondylar length"
"72","FIX","fix","Femur, second moments of area about the x and y axes (A-P and M-L bending rigidities, respectively)"
"73","FIY","fiy","Femur, second moments of area about the x and y axes (A-P and M-L bending rigidities, respectively)"
"74","FZX","fzx","Femur, section moduli about the x and y axes (A-P and M-L bending strengths, respectively)"
"75","FZY","fzy","Femur, section moduli about the x and y axes (A-P and M-L bending strengths, respectively)"
"76","FTA","fta","Femur, total subperiosteal areas"
"77","FCA","fca","Femur, total cortical areas"
"78","FIMAX","fimax","Femur, maximum and minimum second moments of area (bending rigidities)"
"79","FIMIN","fimin","Femur, maximum and minimum second moments of area (bending rigidities)"
"80","FJ","fj","Femur, polar second moment of area (torsional and (twice) average bending rigidity)"
"81","FZP","fzp","Femur, polar section modulus (torsional and (twice) average bending strength)"
"82","TIX","tix","Tibia, second moments of area about the x and y axes (A-P and M-L bending rigidities, respectively)"
"83","TIY","tiy","Tibia, second moments of area about the x and y axes (A-P and M-L bending rigidities, respectively)"
"84","TZX","tzx","Tibia, section moduli about the x and y axes (A-P and M-L bending strengths, respectively)"
"85","TZY","tzy","Tibia, section moduli about the x and y axes (A-P and M-L bending strengths, respectively)"
"86","TTA","tta","Tibia, total subperiosteal areas"
"87","TCA","tca","Tibia, total cortical areas"
"88","TIMAX","timax","Tibia, maximum and minimum second moments of area (bending rigidities)"
"89","TIMIN","timin","Tibia, maximum and minimum second moments of area (bending rigidities)"
"90","TJ","tj","Tibia, polar second moment of area (torsional and (twice) average bending rigidity)"
"91","TZP","tzp","Tibia, polar section modulus (torsional and (twice) average bending strength)"
"92","LHIX","lhix","Humerus, left, second moments of area about the x and y axes (A-P and M-L bending rigidities, respectively)"
"93","LHIY","lhiy","Humerus, left, second moments of area about the x and y axes (A-P and M-L bending rigidities, respectively)"
"94","LHZX","lhzx","Humerus, left, section moduli about the x and y axes (A-P and M-L bending strengths, respectively)"
"95","LHZY","lhzy","Humerus, left, section moduli about the x and y axes (A-P and M-L bending strengths, respectively)"
"96","LHTA","lhta","Humerus, left, total subperiosteal areas"
"97","LHCA","lhca","Humerus, left, total cortical areas"
"98","LHIMAX","lhimax","Humerus, left, maximum and minimum second moments of area (bending rigidities)"
"99","LHIMIN","lhimin","Humerus, left, maximum and minimum second moments of area (bending rigidities)"
"100","LHJ","lhj","Humerus, left, polar second moment of area (torsional and (twice) average bending rigidity)"
"101","LHZP","lhzp","Humerus, left, polar section modulus (torsional and (twice) average bending strength)"
"102","RHIX","rhix","Humerus, right, second moments of area about the x and y axes (A-P and M-L bending rigidities, respectively)"
"103","RHIY","rhiy","Humerus, right, second moments of area about the x and y axes (A-P and M-L bending rigidities, respectively)"
"104","RHZX","rhzx","Humerus, right, section moduli about the x and y axes (A-P and M-L bending strengths, respectively)"
"105","RHZY","rhzy","Humerus, right, section moduli about the x and y axes (A-P and M-L bending strengths, respectively)"
"106","RHTA","rhta","Humerus, right, total subperiosteal areas"
"107","RHCA","rhca","Humerus, right, total cortical areas"
"108","RHIMAX","rhimax","Humerus, right, maximum and minimum second moments of area (bending rigidities)"
"109","RHIMIN","rhimin","Humerus, right, maximum and minimum second moments of area (bending rigidities)"
"110","RHJ","rhj","Humerus, right, polar second moment of area (torsional and (twice) average bending rigidity)"
"111","RHZP","rhzp","Humerus, right, polar section modulus (torsional and (twice) average bending strength)"
